Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore	Reason for filtering out
23.20_1024.8347m/z	1024.8347	23.20	Accucore_C18_pos	576412.99	2900324.15	896848.62	1433617.52	627173.09	1331920.30	37558.79	95302.32	463874.76	1549936.38	87612.82	38499.92	2252199.03	50892.86	1047959.11	3774274.00	6298401.78	1658251.41	319595.07	411838.67	1206806.92	1733437.50	187972.79	263604.04	531382.22	3934432.63	436935.07	530147.26	164619.98	3321507.53	621443.75	258090.45	500417.25	1605575.95	1505297.11	1567952.59	TG(20:0/22:6/22:6)+NH4	(20:0/22:6/22:6)	TG	C67 H110 O6 N1	22.65	1024.8328	3.589153796	0.575305588	Duplicate lipid with low intensity
22.47_948.8009m/z	948.8009	22.47	Accucore_C18_pos	4152016.98	4605123.12	4147487.17	5187324.76	8638065.56	11971080.20	227598.10	268028.15	1491309.37	7942952.96	183001.93	178325.25	4156546.80	353213.00	4790872.63	11208667.84	62219914.62	2890200.41	1720205.89	3355318.22	1884612.78	7751301.10	2896246.43	3385175.94	6533134.14	6229169.50	6285246.80	3949807.11	6450556.73	16126705.72	3693773.72	6212812.94	2699191.46	8118364.06	7792759.44	8180948.03	TG(18:1/18:2/22:5)+NH4| TG(18:1/18:1/22:6)+NH4	(18:1/18:2/22:5)| (18:1/18:1/22:6)	TG| TG	C61 H106 O6 N1| C61 H106 O6 N1	22.4774731962103| 22.7697913665661	948.801465469999| 948.801465469999	33.8739855295828| 58.8217776450793	0.553871974534116| 0.268243974534115	Duplicate lipid with low intensity
22.02_790.6897m/z	790.6897	22.02	Accucore_C18_pos	255.78	722.96	442.17	0.00	2628.45	1676.18	0.00	0.00	0.00	0.00	0.00	0.00	205.39	0.00	353.46	608.44	18522.49	0.00	0.00	223.42	0.00	589.95	556.01	619.02	960.77	0.00	894.54	288.15	1499.71	3563.87	0.00	1005.93	0.00	385.86	1335.89	1171.50	TG(14:0/14:0/18:3)+NH4	(14:0/14:0/18:3)	TG	C49 H92 O6 N1	21.53	790.6919	42.78787464	0.219115634	Duplicate lipid with low intensity
21.96_868.7392m/z	868.7392	21.96	Accucore_C18_pos	21194221.33	24311718.81	16798659.16	21793590.18	50599673.67	57772828.12	1603706.36	1407957.92	7069444.08	36727038.83	1183881.31	1267139.90	22842009.82	2204481.13	22833633.36	55774716.69	318771163.50	13906915.15	8022870.71	15212909.58	8223777.59	41315108.56	20594852.48	19175772.32	35926967.13	30893406.71	30518260.97	20467473.59	37758877.47	88689564.17	16585247.63	48900779.04	13375431.95	43222163.56	42177070.42	42483987.91	TG(18:4/16:1/18:1)+NH4	(18:4/16:1/18:1)	TG	C55 H98 O6 N1	21.96	868.7389	45.19467132	0.202479469	Duplicate lipid with low intensity
23.93_938.8202m/z	938.8202	23.93	Accucore_C18_pos	253426.09	455285.36	190148.67	271517.65	417622.79	583844.48	6868.13	17621.54	137162.45	465241.43	8763.95	7386.43	318507.37	17079.09	235334.54	1127660.25	3949259.58	297458.74	148850.72	135167.69	272208.51	576898.81	106881.34	110435.64	183838.27	625244.20	295073.26	149442.82	337782.72	1170398.09	144409.50	276012.76	229512.33	515164.92	502513.10	532154.29	TG(17:0/18:1/22:5)+NH4	(17:0/18:1/22:5)	TG	C60 H108 O6 N1	23.41	938.8171	3.826298579	0.180385196	Duplicate lipid with low intensity
22.50_996.8040m/z	996.8040	22.50	Accucore_C18_pos	5781376.06	13419996.13	5621557.10	8476191.84	8137785.09	14639573.57	229373.93	451835.52	2693955.30	11504705.95	223553.32	197874.07	11151839.06	349058.98	7575303.55	26182575.01	103195629.10	6799142.90	2833327.04	3446596.71	5941195.02	13129399.08	2745465.66	4445761.84	7306686.78	19009664.54	6215944.35	5150045.06	3195387.54	25834602.26	4959764.42	4446315.52	5324970.63	13129330.25	12849852.01	13502157.66	TG(18:1/22:5/22:6)+NH4| TG(18:0/22:6/22:6)+NH4	(18:1/22:5/22:6)| (18:0/22:6/22:6)	TG| TG	C65 H106 O6 N1| C65 H106 O6 N1	22.0634153539573| 22.4982926866626	996.801465469999| 996.801465469999	34.1376419650815| 22.319057133272	0.58067717996583| 0.137877846632498	Duplicate lipid with low intensity
17.89_818.6061m/z	818.6061	17.89	Accucore_C18_pos	411497.16	305608.73	1585497.30	1446297.83	423463.16	2136899.05	291670.51	701408.11	1014705.61	2535387.24	236239.83	211452.79	238981.53	338686.68	1531318.05	414694.93	498672.77	356431.16	570814.42	940391.08	408299.39	421338.21	345536.73	126638.09	340759.80	391042.51	216588.98	1347703.40	371995.56	299043.84	1308723.12	354093.19	897098.15	891468.41	888866.16	813732.52	PC(18:1e/22:6)+H| PC(18:1e/22:6)+H	(18:1e/22:6)| (18:1e/22:6)	PC| PC	C48 H85 O7 N1 P1| C48 H85 O7 N1 P1	17.5009178594007| 17.927	818.60581847| 818.60581847	19.8829895933128| 16.5382020844081	0.111784768082041| 0.546027484955093	Duplicate lipid with low intensity
16.38_762.5444m/z	762.5444	16.38	Accucore_C18_pos	42.18	5046.51	41.85	42.51	0.00	10.67	178.35	2709.09	13146.29	1829.68	0.00	0.00	6376.62	0.00	127.91	1596.98	0.00	4103.42	5881.70	0.41	1155.90	0.00	0.00	0.00	0.00	6955.98	0.00	20.02	0.00	790.60	46.52	0.00	4706.89	57.04	200.41	3074.80	PC(14:1e/22:6)+H	(14:1e/22:6)	PC	C44 H77 O7 N1 P1	16.21	762.5432	13.29536491	0.176289229	Duplicate lipid with low intensity
18.06_862.6342m/z	862.6342	18.06	Accucore_C18_pos	3310540.81	2203611.44	9057561.87	7976053.53	3686563.06	14440159.50	2980847.25	6448370.48	12402418.90	12884996.01	2291412.94	2495765.64	2072845.36	3580633.48	7439666.67	3062806.54	3701414.76	1660478.91	8824882.51	6866196.55	2453395.03	2646363.75	3558275.07	818004.92	2575562.34	2280312.92	1723995.53	8363504.79	2966635.02	2974598.31	8733257.83	2657155.24	10639824.61	7068701.66	6674349.33	6910221.29	PC(20:0/22:6)+H| PC(20:0/22:6)+H	(20:0/22:6)| (20:0/22:6)	PC| PC	C50 H89 O8 N1 P1| C50 H89 O8 N1 P1	18.0620128616183| 18.3507367681709	862.63203347| 862.63203347	19.8829895933128| 9.63992618206073	0.220581497845034| 0.0865475021549651	Duplicate lipid with low intensity
14.38_750.5095m/z	750.5095	14.38	Accucore_C18_pos	22505.26	17509.10	179148.31	154587.45	49940.61	305612.98	4115.35	21643.58	39260.88	213443.78	789.06	2273.79	11071.97	7044.85	153180.98	19703.01	15637.34	9953.98	34910.92	154726.76	9500.72	13249.62	44387.93	729.40	8307.84	15197.02	1834.11	153262.15	54242.92	23366.94	164506.23	30352.84	44202.74	76222.72	77979.72	70046.45	PC(12:0/22:6)+H	(12:0/22:6)	PC	C42 H73 O8 N1 P1	14.36	750.5068	3.662697981	0.835702883	Duplicate lipid with low intensity
15.54_714.5090m/z	714.5090	15.54	Accucore_C18_pos	8307.10	8300.58	28517.44	24993.58	10061.61	56210.39	84.92	146.81	454.93	43831.67	79.98	0.00	8313.62	164.74	25953.85	9949.59	12925.44	8089.76	145.22	16370.67	8854.59	13346.06	9352.54	1599.28	6957.18	7229.31	4922.46	29656.18	3064.54	11897.89	28086.83	5259.95	1071.60	13452.83	11147.79	12697.96	PC(11:0/20:3)+H	(11:0/20:3)	PC	C39 H73 O8 N1 P1	15.18	714.5068	4.731327888	0.402727255	Duplicate lipid with low intensity
16.42_764.5609m/z	764.5609	16.42	Accucore_C18_pos	2213048.85	2509218.40	7119350.32	5718105.89	1267317.99	10316731.77	1051403.52	2203679.65	4892924.86	10782919.11	906586.63	803230.57	2222418.04	1325197.33	5661770.31	2389153.25	1154369.42	1860057.11	3146373.32	4201589.61	1874021.24	1600987.00	1232179.33	464734.52	862378.63	2672235.48	605943.51	6192840.12	1025186.24	2255897.48	6191969.77	935120.14	3739281.05	3872513.16	3595470.08	3693012.57	PC(14:0e/22:6)+H	(14:0e/22:6)	PC	C44 H79 O7 N1 P1	16.37	764.5589	15.29659131	0.284954622	Duplicate lipid with low intensity
16.81_822.6006m/z	822.6006	16.81	Accucore_C18_pos	1471604.36	1700100.91	4306229.94	3458756.40	704716.18	6016210.86	842316.57	1981893.08	4089768.64	8858278.62	736005.04	562534.92	1470396.53	973013.12	3854557.98	1561164.80	790783.74	1053943.70	2833649.38	2910023.40	1084334.64	1264944.01	725972.41	177127.00	525968.85	1540164.13	372835.25	4555848.67	849297.80	1472812.19	3856149.17	477266.74	3092140.23	2817462.86	2621926.84	2674115.88	PC(19:1/20:4)+H	(19:1/20:4)	PC	C47 H85 O8 N1 P1	16.78	822.6007	13.57711856	0.816649819	Duplicate lipid with low intensity
16.39_742.5388m/z	742.5388	16.39	Accucore_C18_pos	542175.18	561055.35	1980188.30	1575468.96	612859.66	4026103.04	68534.59	256077.02	493692.80	3153746.56	64485.69	55561.01	516140.63	101025.15	1678240.05	639759.59	494367.26	437513.80	427705.82	1720303.46	453994.31	611720.04	616558.50	159418.27	299144.05	611399.59	233667.63	2033503.71	590741.72	702873.13	1993328.60	393506.48	523295.00	1046665.48	969959.58	1003667.32	PC(15:0/18:3)+H	(15:0/18:3)	PC	C41 H77 O8 N1 P1	16.13	742.5381	19.88298959	0.29635667	Duplicate lipid with low intensity
15.77_736.5288m/z	736.5288	15.77	Accucore_C18_pos	74780.07	155719.13	224789.27	186227.13	19167.67	177877.24	39663.45	102792.08	255286.56	358127.10	26938.01	22319.01	139414.99	50115.57	194276.69	99918.45	19288.04	86902.02	157407.51	47287.92	65325.21	44190.41	22223.14	1138.83	10805.56	160026.24	2797.28	78581.66	13275.87	94546.74	70978.48	13355.08	191970.20	123361.12	122478.46	116317.73	PC(12:0e/22:6)+H	(12:0e/22:6)	PC	C42 H75 O7 N1 P1	15.75	736.5276	8.418732847	0.059008486	Duplicate lipid with low intensity
13.37_698.4781m/z	698.4781	13.37	Accucore_C18_pos	6016.22	6012.85	51683.50	38481.81	22619.07	85010.07	195.69	4368.37	5646.21	60346.83	86.64	0.00	6533.82	138.87	34882.62	8888.55	6019.59	1296.08	4708.73	37973.58	4609.48	3512.18	20253.39	0.00	2942.42	5791.10	336.11	68726.71	4184.33	9451.10	66077.54	14136.35	9742.49	23174.24	22222.80	22834.58	PC(10:0/20:4)+H	(10:0/20:4)	PC	C38 H69 O8 N1 P1	13.67	698.4755	3.402757462	1.214203787	Duplicate lipid with low intensity
17.53_846.6008m/z	846.6008	17.53	Accucore_C18_pos	865677.38	696005.82	3027880.78	2276151.03	815370.21	7104914.39	313274.61	915984.54	1829425.86	4561511.33	249776.95	257965.61	584631.32	406040.92	2285904.52	1024367.85	966585.30	309506.36	1355759.44	3410551.03	457205.63	600532.93	732817.39	99325.12	439972.74	606991.59	271769.16	3637036.55	1112090.37	983066.49	3636667.05	603537.55	1448492.21	1804703.48	1676483.78	1689158.72	PC(19:1/22:6)+H	(19:1/22:6)	PC	C49 H85 O8 N1 P1	17.38	846.6007	16.46863512	0.060885569	Duplicate lipid with low intensity
15.56_854.5705m/z	854.5705	15.56	Accucore_C18_pos	2854988.26	2257652.50	8970423.77	6424955.50	3583307.76	22737346.44	2632067.98	6294039.68	9643751.72	13729495.72	2073294.87	1910752.43	2055851.99	3077908.54	6970407.75	2484407.24	2030615.10	1350720.29	7546034.11	10243151.69	1429869.94	1684490.13	3474409.02	690676.51	1469557.12	2122091.69	1211514.26	10169272.41	4051478.20	2247767.68	10567599.25	2299363.02	9162192.83	6045842.84	5794878.46	6171161.09	PC(20:4/22:6)+H| PC(20:4/22:6)+H	(20:4/22:6)| (20:4/22:6)	PC| PC	C50 H81 O8 N1 P1| C50 H81 O8 N1 P1	15.5083414262471| 15.777605300064	854.56943347| 854.56943347	19.8829895933128| 19.8829895933128	0.719699508528488| 0.411742712356902	Duplicate lipid with low intensity
5.58_550.3519m/z	550.3519	5.58	Accucore_C18_pos	2939.41	11674.70	3309.26	3047.34	1517.50	2245.45	9041.59	4297.10	8342.07	3957.61	2653.58	4278.50	7348.16	2565.30	3178.08	2831.48	1945.47	5870.41	5898.23	1585.00	2077.25	4307.04	1147.06	1433.73	1218.47	8905.43	1339.75	1233.25	1240.31	3841.51	2002.01	1037.79	4192.84	8645.82	7823.65	7662.19	PC(8:0/11:1)+H	(8:0/11:1)	PC	C27 H53 O8 N1 P1	5.66	550.3503	8.388123514	6.882248737	Duplicate lipid with low intensity
5.55_550.3515m/z	550.3515	5.55	Accucore_C18_pos	1883.76	5775.30	1918.53	1870.52	890.16	1432.02	2738.69	2122.16	4828.07	3035.53	1718.76	1975.37	3377.07	2200.92	2128.35	1559.35	878.30	2800.02	3417.07	926.72	1897.01	1740.17	927.28	530.36	824.86	5908.32	730.34	810.84	1015.74	2425.32	1231.64	653.08	2553.01	3155.09	2203.89	1866.07	PC(8:0/11:1)+H	(8:0/11:1)	PC	C27 H53 O8 N1 P1	5.66	550.3503	8.388123514	6.882248737	Duplicate lipid with low intensity
16.64_858.6019m/z	858.6019	16.64	Accucore_C18_pos	801475.35	388082.15	1860512.90	1308889.33	912401.95	5327154.81	462560.73	1036264.46	2069885.04	2694367.78	404186.45	404638.32	335855.98	660284.59	1330769.19	562006.41	772353.70	412058.57	1708704.46	2653126.43	414131.97	625448.17	830597.01	181376.73	441126.56	398493.58	420340.39	1451528.70	2678960.41	607955.34	1713471.67	1055900.96	1653214.00	1391943.66	1357257.87	1403274.33	PC(20:2/22:6)+H| PC(20:2/22:6)+H	(20:2/22:6)| (20:2/22:6)	PC| PC	C50 H85 O8 N1 P1| C50 H85 O8 N1 P1	16.6216244765852| 17.0139278480413	858.60073347| 858.60073347	19.8829895933128| 19.8829895933128	0.572964632703019| 0.184758714166163	Duplicate lipid with low intensity
16.24_820.5850m/z	820.5850	16.24	Accucore_C18_pos	1429844.72	1760728.32	3838770.51	3083027.64	612652.01	9641989.07	449274.52	1095166.89	2351408.95	8998002.57	352850.04	276645.68	1601340.51	472928.73	3275256.88	1618699.95	754192.96	1299482.18	1588187.31	3153518.70	1175343.52	1252431.45	643115.30	188519.63	460536.31	1653552.26	331647.72	4788279.54	614882.51	1560207.27	4354686.64	350732.64	1858808.45	2286552.54	2179175.41	2235891.28	PC(17:0/22:6)+H	(17:0/22:6)	PC	C47 H83 O8 N1 P1	16.22	820.5851	19.88298959	0.889234302	Duplicate lipid with low intensity
17.27_720.5562m/z	720.5562	17.27	Accucore_C18_pos	2712314.67	979216.42	13031357.52	10153918.18	3072940.03	24258419.75	735108.81	2909127.06	5240570.77	21034498.94	749017.36	654912.35	882087.70	1373091.10	10692960.34	2280133.61	1341003.60	1095170.39	5843713.29	12477631.40	1778200.68	2420873.27	3110332.24	392937.82	912179.65	1320819.34	673993.46	10760395.49	8411524.52	2515502.28	9953534.63	3086017.67	5565109.12	6575012.24	6327557.22	6736739.58	PC(15:0/16:0)+H	(15:0/16:0)	PC	C39 H79 O8 N1 P1	17.26	720.5538	9.639926182	0.236815273	Duplicate lipid with low intensity
17.17_744.5555m/z	744.5555	17.17	Accucore_C18_pos	2339288.93	1610203.86	6676519.16	5179489.64	2413900.56	11310786.50	664904.23	2366517.85	3882513.02	10311895.25	549257.99	498076.13	1532719.32	849588.79	5458251.13	2391081.21	1622052.98	1100493.06	3292450.58	5013164.61	1587944.33	2346791.54	2331786.32	446385.05	966613.69	1768164.00	773974.43	7000588.74	1724225.42	2585756.72	6382909.74	1395417.30	4147795.05	4051098.20	3808396.51	3975825.33	PC(15:0/18:2)+H| PC(15:0/18:2)+H	(15:0/18:2)| (15:0/18:2)	PC| PC	C41 H79 O8 N1 P1| C41 H79 O8 N1 P1	16.7501050996346| 17.1562567840022	744.55378347| 744.55378347	13.0542806524781| 9.63992618206073	0.103775627928921| 0.352132729333623	Duplicate lipid with low intensity
17.16_808.5860m/z	808.5860	17.16	Accucore_C18_pos	81046732.52	56379427.26	272604907.00	239641309.60	87147654.32	509849143.80	66401546.64	166452605.80	303485282.10	385381993.30	56919365.46	51657025.63	50453581.85	82431637.39	237734596.70	80861618.76	62381417.72	34627916.01	220224539.50	260605690.10	52481374.81	59531319.25	81231846.27	14964465.22	45453451.02	61167064.14	31037959.81	310542325.10	104430321.40	68414423.16	314937797.50	61088908.57	275155324.80	197502749.80	185826236.80	193595191.70	PC(16:0/22:5)+H| PC(16:0/22:5)+H	(16:0/22:5)| (16:0/22:5)	PC| PC	C46 H83 O8 N1 P1| C46 H83 O8 N1 P1	17.1461186445592| 17.5016666377046	808.58508347| 808.58508347	19.8829895933128| 16.4686351228954	0.13666038083283| 0.278963700630309	Duplicate lipid with low intensity
15.26_726.5096m/z	726.5096	15.26	Accucore_C18_pos	189168.74	189141.12	856508.82	608879.47	326300.43	2235428.49	40125.63	122910.36	186775.94	1308709.43	35279.59	33385.15	154542.24	57238.13	627868.24	233938.44	151033.87	131496.73	189196.35	919782.93	124833.13	169692.47	305884.02	41171.64	102494.51	183083.86	76341.72	893086.90	423950.96	266263.73	924290.52	306362.07	233602.54	427663.28	410502.22	439609.61	PC(12:0/20:4)+H| PC(12:0/20:4)+H	(12:0/20:4)| (12:0/20:4)	PC| PC	C40 H73 O8 N1 P1| C40 H73 O8 N1 P1	14.9908941330836| 15.242	726.50683347| 726.50683347	15.4202612244622| 9.63992618206073	0.390636774412637| 0.311429342939883	Duplicate lipid with low intensity
17.52_690.5446m/z	690.5446	17.52	Accucore_C18_pos	127885.55	169588.67	331265.68	337264.08	23769.21	414565.51	128180.68	472124.79	1062028.65	622072.74	85207.13	32203.28	180156.88	82991.25	318124.07	138066.64	30283.41	47919.91	663390.73	127590.42	91314.72	52973.32	7459.69	0.00	6982.00	171495.55	0.00	144749.40	0.00	83537.01	129260.12	2429.08	716735.63	297663.07	258337.84	249198.48	PC(12:0e/18:1)+H	(12:0e/18:1)	PC	C38 H77 O7 N1 P1	17.52	690.5432	9.639926182	0.836099355	Duplicate lipid with low intensity
17.61_716.5603m/z	716.5603	17.61	Accucore_C18_pos	643792.09	1082059.82	1289447.13	1192651.39	212754.10	1534384.94	263442.74	747568.65	1508788.37	2125996.70	252947.89	137593.81	1040223.77	264914.38	1163246.98	618947.76	410572.70	668636.43	1034001.83	695044.32	554095.99	506923.90	192517.42	74404.82	231566.25	1249766.61	86445.77	685924.54	238023.30	561524.99	712955.87	135611.86	1144141.59	915636.51	879176.09	865048.16	PC(14:0e/18:2)+H| PC(14:0e/18:2)+H	(14:0e/18:2)| (14:0e/18:2)	PC| PC	C40 H79 O7 N1 P1| C40 H79 O7 N1 P1	17.167| 17.553	716.55886847| 716.55886847	9.63992618206073| 9.01593104251172	0.155425903041127| 0.481974438354534	Duplicate lipid with low intensity
18.45_858.6013m/z	858.6013	18.45	Accucore_C18_pos	827772.05	835787.98	2465543.78	2091226.17	498085.03	4648344.81	624297.17	1254028.19	3227119.90	3985108.30	565681.94	527011.15	839454.84	812874.31	1897334.85	981455.11	641927.87	619804.35	1941172.49	1473393.83	617384.98	591745.74	568645.99	181185.77	415304.63	1020507.06	287228.43	1623177.65	572225.86	819756.13	1627616.49	413720.43	2563698.52	1620963.77	1578475.42	1609797.39	PC(18:0/22:5)+Na| PC(20:2/22:6)+H	(18:0/22:5)| (20:2/22:6)	PC| PC	C48 H86 O8 N1 P1 Na1| C50 H85 O8 N1 P1	18.0945781986434| 18.107	858.59832847| 858.60073347	26.7333333333332| 4.24033598868063	0.275139998300529| 0.821731873573025	Duplicate lipid with low intensity
