Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore	Reason for filtering out
18.84_836.6163m/z	836.6163	18.84	Accucore_C18_pos	5179446.07	5865656.49	14368031.78	13442805.16	3496630.26	22300994.66	2037626.79	4047997.85	9072297.06	20686691.93	2034049.63	1820834.58	5260345.40	2847048.68	13135813.54	6593644.08	5082723.74	4410824.15	6297824.08	9957931.69	4832305.31	5098546.75	3684561.49	1178115.95	3123879.10	6241926.49	2184221.32	10579199.05	4514415.82	5631734.06	11652481.89	2698784.83	7601199.25	9076911.35	8605386.31	8792660.28	PC(20:0/18:2)+Na| PC(20:1/20:4)+H| PC(20:1/20:4)+H	(20:0/18:2)	PC	C46 H88 O8 N1 P1 Na1| C48 H87 O8 N1 P1| C48 H87 O8 N1 P1	18.828837082683| 18.4457894203402| 18.8030796757902	836.61397847| 836.61638347| 836.61638347	32.048141063154| 19.2261037010697| 10.5887945831905	0.11267464420797| 0.522536532444291| 1.08045733163386	Duplicate lipid with low intensity
18.89_810.6003m/z	810.6003	18.89	Accucore_C18_pos	22591005.49	37594404.23	64201124.59	60827551.60	12098349.48	85816386.46	2990899.03	8277194.49	15205965.68	88861976.81	3120544.88	2614833.00	36609869.94	3863298.48	59305948.73	34630349.00	16253935.01	26472568.62	12170416.61	42283170.13	25694632.42	25972221.61	13516968.51	4304890.93	10022490.94	42128243.29	6127930.66	49388882.96	19487378.55	26871354.94	48932185.45	9926131.64	15784521.26	37215737.36	35619620.56	36185565.82	PC(18:0/18:1)+Na| PC(18:0/20:4)+H	(18:0/18:1)	PC	C44 H86 O8 N1 P1 Na1| C46 H85 O8 N1 P1	18.8762466382532| 18.8818583736942	810.59832847| 810.60073347	42.6159450090044| 9.25200200629935	0.306436154064515| 1.23288279910407	Duplicate lipid with low intensity
16.17_752.5221m/z	752.5221	16.17	Accucore_C18_pos	1990407.27	1639854.99	10149869.50	8481029.26	2693531.04	16761279.07	780807.29	2417298.43	4611820.77	14060354.20	601289.76	574506.03	1474885.83	1023216.96	8510838.39	2076413.50	1877885.78	1142447.86	3528842.49	10393479.21	1365384.40	1513143.15	2848172.16	539528.48	1396562.51	1777890.11	756603.77	9870403.26	3042253.20	1904401.03	10270640.80	1625119.46	4932869.98	5302064.95	5009155.11	4955142.32	PC(16:1/16:1)+Na| PC(18:4/16:1)+H	(16:1/16:1)	PC	C40 H76 O8 N1 P1 Na1| C42 H75 O8 N1 P1	16.1624975030532| 16.160448184894	752.52007847| 752.52248347	36.4106793509085| 18.9477564249888	0.280811406011357| 0.585185801043932	Duplicate lipid with low intensity
14.67_764.5242m/z	764.5242	14.67	Accucore_C18_pos	20015.63	17706.88	103137.29	67918.47	31252.65	166352.78	4638.59	18098.36	34693.20	134334.96	2923.62	3743.98	11854.27	9482.43	64350.67	17485.88	4694.42	15331.95	34551.92	80026.31	4260.17	5960.39	29529.80	142.46	1846.37	20973.00	2239.93	45566.61	85299.52	19058.27	50510.57	35332.10	39563.85	39785.76	42571.46	43034.18	PC(22:6/13:0)+H| PC(22:6/13:0)+H	(22:6/13:0)	PC	C43 H75 O8 N1 P1| C43 H75 O8 N1 P1	14.6543046231877| 15.0198145214513	764.52248347| 764.52248347	4.10541962524871| 4.55996855084791	0.768771588073817| 0.520189588073817	Duplicate lipid with low intensity
15.02_726.5093m/z	726.5093	15.02	Accucore_C18_pos	228753.15	254122.83	919058.63	629320.51	325443.91	1500930.20	58171.89	142248.33	213289.10	1262768.41	46572.10	44096.74	219063.27	63454.07	607928.27	245838.73	146404.51	118551.78	179331.85	636549.74	139720.61	149084.07	286012.23	38349.16	98613.70	238443.04	60999.27	1195783.92	166203.24	253277.78	1098012.43	246059.10	258201.11	428884.74	409777.00	439723.39	PC(12:0/20:4)+H| PC(12:0/20:4)+H| PC(12:0/20:4)+H	(12:0/20:4)	PC	C40 H73 O8 N1 P1| C40 H73 O8 N1 P1| C40 H73 O8 N1 P1	14.6550949297678| 14.9908941330836| 15.242	726.50683347| 726.50683347| 726.50683347	13.0542806524781| 15.4202612244622| 9.63992618206073	0.735347441079303| 0.390636774412637| 0.311429342939883	Duplicate lipid with low intensity
15.33_800.5228m/z	800.5228	15.33	Accucore_C18_pos	403888.39	398248.24	1961734.06	1451585.26	410059.17	4247749.96	239431.28	562365.32	1199119.45	3169771.05	174143.03	183820.24	370867.65	327787.68	1405196.65	374667.81	192412.53	263410.17	902764.95	1576084.70	200182.01	199579.07	409528.54	58418.34	147864.90	427577.68	111137.48	1592336.15	570538.80	367720.45	1703991.00	259123.59	1134224.56	880898.76	861336.37	837729.75	PC(16:1/20:5)+Na| PC(16:1/20:5)+Na| PC(18:4/20:5)+H	(16:1/20:5)	PC	C44 H76 O8 N1 P1 Na1| C44 H76 O8 N1 P1 Na1| C46 H75 O8 N1 P1	15.3013516876936| 15.6901877703747| 15.314530116283	800.52007847| 800.52007847| 800.52248347	31.0212587675388| 20.0499999999999| 4.89122113784711	0.586275813454394| 0.292166146787728| 0.258243846947496	Duplicate lipid with low intensity
17.32_778.5408m/z	778.5408	17.32	Accucore_C18_pos	923703.73	293956.25	3475944.38	2743899.79	1293063.27	6347064.38	400713.48	1254573.65	2473390.48	4792660.55	558334.66	442682.23	271052.59	760553.86	2749611.31	507185.48	552526.97	262841.42	2084723.31	3547867.67	416191.19	552379.60	1251131.39	157824.23	380822.86	349066.74	343574.25	2608680.11	2441522.17	514396.18	2776232.86	1086853.60	2340125.68	2036979.65	1852387.57	2089155.01	PC(16:1/20:5)+H	(16:1/20:5)	PC	C44 H77 O8 N1 P1	17.31	778.5381	13.4532978	1.266191229	Duplicate lipid with low intensity
17.18_834.6019m/z	834.6019	17.18	Accucore_C18_pos	53738437.45	49771942.08	143286346.40	126260373.90	57266989.34	285625665.10	23710959.16	55297657.54	95669927.22	198739969.40	19438622.43	18892434.21	45575600.25	29295605.56	126163062.80	60346216.90	43856502.31	29773629.02	73511095.24	147257548.20	39751476.48	43512507.15	54678622.34	10137702.24	31058952.75	52798252.56	20195899.34	152873783.40	63482748.53	50470335.76	161230774.20	39658371.20	86771609.07	96755086.04	91218418.46	94707777.60	PC(18:1/22:5)+H| PC(18:0/22:6)+H	(18:0/22:6)	PC	C48 H85 O8 N1 P1| C48 H85 O8 N1 P1	17.1617065229849| 17.4641179703237	834.60073347| 834.60073347	28.1337545661372| 28.8105695344638	0.327752020015135| 0.111781313318198	Duplicate lipid with low intensity
17.85_856.5847m/z	856.5847	17.85	Accucore_C18_pos	13661632.56	14712551.00	36096612.45	32301834.41	7519054.36	38456652.32	4940468.66	12273715.24	23353387.32	39357400.35	4595324.08	3475078.23	13528466.73	5698140.47	31043702.11	17782802.23	9806322.03	9221616.10	16385713.39	28968687.97	12746750.52	13794798.39	8089052.01	2703712.27	6785154.51	16061681.90	3964622.29	32080283.90	9657316.68	14043269.78	30616077.76	5176450.76	18764600.11	22874651.91	21765974.45	21597591.50	PC(18:0/22:6)+Na| PC(18:0/22:6)+Na| PC(20:3/22:6)+H| PC(20:3/22:6)+H	(18:0/22:6)	PC	C48 H84 O8 N1 P1 Na1| C48 H84 O8 N1 P1 Na1| C50 H83 O8 N1 P1| C50 H83 O8 N1 P1	17.8344122428226| 18.142661020474| 17.8195835486355| 18.154	856.58267847| 856.58267847| 856.58508347| 856.58508347	19.790983673489| 8.11834114272682| 7.61045578665304| 4.39119867518073	0.384032646651531| 0.85271364665153| 0.876244914615873| 1.45528435482601	Duplicate lipid with low intensity
19.73_838.6321m/z	838.6321	19.73	Accucore_C18_pos	3197264.63	3311130.78	5726300.33	5551834.51	2192623.26	16214996.98	916906.26	1991541.19	3700683.49	12478749.71	907296.54	852391.66	3083398.49	1119552.73	5182112.24	4436577.33	4124144.21	2613280.39	2800023.05	4904447.48	3336854.51	3024469.18	2216859.94	1019357.77	2273896.31	3552396.92	1412189.68	5304059.53	2614067.51	3440826.41	5163332.02	1883136.25	3559940.90	4298629.66	4131585.22	4173432.99	PC(20:0/18:1)+Na| PC(16:0/22:1)+Na| PC(20:0/20:4)+H	(20:0/18:1)	PC	C46 H90 O8 N1 P1 Na1| C46 H90 O8 N1 P1 Na1| C48 H89 O8 N1 P1	19.7093836812361| 20.033| 19.711	838.62962847| 838.62962847| 838.63203347	40.0999999999999| 32.8885640779856| 9.51934203027648	0.518420847489634| 0.341896154600753| 0.958899775505063	Duplicate lipid with low intensity
18.30_818.6066m/z	818.6066	18.30	Accucore_C18_pos	336908.59	360747.24	427597.20	386304.61	365961.00	634513.79	94172.74	142004.40	415107.60	709116.50	111515.54	87812.12	308643.53	133329.22	342820.56	449126.68	680955.72	244083.21	272455.14	265964.66	207319.88	419507.48	231875.55	169515.28	314869.01	313930.67	330996.62	358756.95	416174.80	514615.98	362409.24	456674.02	303705.59	380169.55	389358.24	426700.45	PC(18:1e/22:6)+H	(18:1e/22:6)	PC	C48 H85 O7 N1 P1	17.93	818.6058	16.53820208	0.546027485	Duplicate lipid with low intensity
17.64_937.5825m/z	937.5825	17.64	Accucore_C18_neg	53.23	16.16	3332.30	2003.12	41.01	8223.98	0.00	1823.66	6893.44	7187.46	607.30	0.00	50.66	1226.59	2606.50	8.54	26.44	15.72	4086.40	2921.04	15.39	26.65	52.75	0.00	22.26	0.10	29.00	1334.22	184.54	42.79	4119.69	53.70	7085.78	723.85	868.71	1308.07	PI(20:1/22:5)-H| PI(20:0/22:6)-H	(20:1/22:5)	PI	C51 H86 O13 N0 P1| C51 H86 O13 N0 P1	17.3524559018349| 18.0191037142958	937.581156529999| 937.581156529999	8.45444604502433| 6.27167317278609	0.242648392413391| 0.421211274253276	Duplicate lipid with low intensity
17.32_832.5130m/z	832.5130	17.32	Accucore_C18_neg	455450.15	147680.19	771658.76	721422.38	625685.31	1187829.13	269005.22	490356.12	661924.61	852133.28	266467.92	250584.22	166549.59	338450.18	724824.17	257868.71	420544.18	126434.31	600016.35	963036.21	224164.05	235253.48	653204.42	160519.82	359898.96	182960.74	264799.48	1056062.08	654756.52	219046.21	1043518.33	566137.90	719779.73	660254.14	667930.35	673847.43	PS(18:1/22:6)-H| PS(20:2/20:5)-H	(18:1/22:6)	PS	C46 H75 O10 N1 P1| C46 H75 O10 N1 P1	17.3082175165072| 17.6642766621321	832.513410529999| 832.513410529999	4.93042230753008| 4.75071970779167	0.421577651117139| 0.905020199812633	Duplicate lipid with low intensity
