"","GOID","Term","Pvalue.RNA","Pvalue.ATAC","Ontology","lipid.related"
"ossification","GO:0001503","ossification",0.00192863266789552,0.023293750533912,"BP",FALSE
"angiogenesis","GO:0001525","angiogenesis",2.30917519513543e-16,6.83189087247419e-07,"BP",FALSE
"amyloid-beta binding","GO:0001540","amyloid-beta binding",0.00166230970792849,0.00286768812319432,"MF",FALSE
"regulation of cell growth","GO:0001558","regulation of cell growth",0.0025579054802315,0.017686439080731,"BP",FALSE
"blood vessel development","GO:0001568","blood vessel development",1.02245257750366e-20,4.27365761940039e-09,"BP",FALSE
"branching involved in blood vessel morphogenesis","GO:0001569","branching involved in blood vessel morphogenesis",0.0102609128768751,0.039859079825082,"BP",FALSE
"vasculogenesis","GO:0001570","vasculogenesis",0.00846231086606781,2.23702133172282e-07,"BP",FALSE
"osteoblast differentiation","GO:0001649","osteoblast differentiation",0.00239446916937703,0.000856917531508391,"BP",FALSE
"eye development","GO:0001654","eye development",9.38971685383567e-07,3.07967143935243e-09,"BP",FALSE
"urogenital system development","GO:0001655","urogenital system development",6.08968258527896e-06,8.11381864401341e-12,"BP",FALSE
"metanephros development","GO:0001656","metanephros development",0.000357752432612149,0.000153120490094949,"BP",FALSE
"ureteric bud development","GO:0001657","ureteric bud development",7.58381750584764e-05,3.19146164811986e-11,"BP",FALSE
"branching involved in ureteric bud morphogenesis","GO:0001658","branching involved in ureteric bud morphogenesis",0.000999105756367507,0.000400645971137252,"BP",FALSE
"ameboidal-type cell migration","GO:0001667","ameboidal-type cell migration",2.58202016087252e-09,1.74102707086188e-14,"BP",FALSE
"in utero embryonic development","GO:0001701","in utero embryonic development",7.81124887711779e-05,0.000134100476599391,"BP",FALSE
"formation of primary germ layer","GO:0001704","formation of primary germ layer",0.000394692415557953,0.000173382408608866,"BP",FALSE
"endoderm formation","GO:0001706","endoderm formation",0.0406060266656132,0.00905515878368226,"BP",FALSE
"mesoderm formation","GO:0001707","mesoderm formation",0.000951515636855225,0.000123943597389377,"BP",FALSE
"cell fate specification","GO:0001708","cell fate specification",3.69538852901679e-05,1.81380718250158e-06,"BP",FALSE
"cell fate determination","GO:0001709","cell fate determination",0.0125442649875734,5.62753734886523e-06,"BP",FALSE
"mesodermal cell fate commitment","GO:0001710","mesodermal cell fate commitment",0.00378336851096085,0.0494234509922114,"BP",FALSE
"stress fiber","GO:0001725","stress fiber",0.000281394911480826,9.43770320031725e-05,"CC",FALSE
"neuron migration","GO:0001764","neuron migration",4.5008677767574e-07,5.13321029147636e-08,"BP",FALSE
"kidney development","GO:0001822","kidney development",1.56467501174365e-05,6.94866235666699e-12,"BP",FALSE
"mesonephros development","GO:0001823","mesonephros development",0.000138333724317764,2.24095068328323e-11,"BP",FALSE
"epithelial to mesenchymal transition","GO:0001837","epithelial to mesenchymal transition",0.00255177191156959,6.75733913629489e-09,"BP",FALSE
"embryonic epithelial tube formation","GO:0001838","embryonic epithelial tube formation",0.00411240607178252,3.2622705610999e-06,"BP",FALSE
"neural tube formation","GO:0001841","neural tube formation",0.0245702943120813,1.23912191669124e-06,"BP",FALSE
"neural tube closure","GO:0001843","neural tube closure",0.0398497274545577,0.000235821283503437,"BP",FALSE
"endothelial cell development","GO:0001885","endothelial cell development",0.000138269921596597,0.0082324322919526,"BP",FALSE
"liver development","GO:0001889","liver development",0.0313553089732422,0.0395381316759083,"BP",FALSE
"placenta development","GO:0001890","placenta development",3.33203700249253e-05,3.0860339888596e-05,"BP",FALSE
"embryonic placenta development","GO:0001892","embryonic placenta development",0.000143583889565364,2.81470902424125e-05,"BP",FALSE
"maternal placenta development","GO:0001893","maternal placenta development",0.0200307931777867,0.0327495068121084,"BP",FALSE
"regulation of protein phosphorylation","GO:0001932","regulation of protein phosphorylation",6.79588125073897e-09,0.000127299243013442,"BP",FALSE
"negative regulation of protein phosphorylation","GO:0001933","negative regulation of protein phosphorylation",0.000614850850270348,3.04866102100737e-06,"BP",FALSE
"positive regulation of protein phosphorylation","GO:0001934","positive regulation of protein phosphorylation",1.37125482117934e-09,0.0345077200399075,"BP",FALSE
"endothelial cell proliferation","GO:0001935","endothelial cell proliferation",6.12925255010069e-05,0.00291531769332555,"BP",FALSE
"regulation of endothelial cell proliferation","GO:0001936","regulation of endothelial cell proliferation",3.94421008148964e-05,0.0197371421231788,"BP",FALSE
"vasculature development","GO:0001944","vasculature development",1.36564219708457e-19,1.90881458402145e-10,"BP",FALSE
"regulation of cell-matrix adhesion","GO:0001952","regulation of cell-matrix adhesion",9.00659740134321e-08,0.00018523884930186,"BP",FALSE
"response to amphetamine","GO:0001975","response to amphetamine",0.000642684264894057,0.0257466540290548,"BP",FALSE
"morphogenesis of an epithelium","GO:0002009","morphogenesis of an epithelium",0.00354195830151859,4.24895801067762e-11,"BP",FALSE
"morphogenesis of an epithelial sheet","GO:0002011","morphogenesis of an epithelial sheet",0.0019926126117931,1.40853812384425e-05,"BP",FALSE
"sprouting angiogenesis","GO:0002040","sprouting angiogenesis",0.016119851870931,0.00907310026916932,"BP",FALSE
"cell migration involved in sprouting angiogenesis","GO:0002042","cell migration involved in sprouting angiogenesis",0.0178123359231436,0.00385292862182518,"BP",FALSE
"positive regulation of mesenchymal cell proliferation","GO:0002053","positive regulation of mesenchymal cell proliferation",0.00260214256241936,0.0065075263522257,"BP",FALSE
"chondrocyte differentiation","GO:0002062","chondrocyte differentiation",1.1203489118102e-05,7.564742884634e-05,"BP",FALSE
"epithelial cell development","GO:0002064","epithelial cell development",2.77816110919396e-05,1.39006488375873e-09,"BP",FALSE
"columnar/cuboidal epithelial cell differentiation","GO:0002065","columnar/cuboidal epithelial cell differentiation",0.000494870010064431,1.36221668903237e-07,"BP",FALSE
"columnar/cuboidal epithelial cell development","GO:0002066","columnar/cuboidal epithelial cell development",0.0200823265290662,0.000560335406321967,"BP",FALSE
"glandular epithelial cell differentiation","GO:0002067","glandular epithelial cell differentiation",0.0178123359231436,1.08387346096687e-05,"BP",FALSE
"glandular epithelial cell development","GO:0002068","glandular epithelial cell development",0.0460071844893779,0.0172491686025811,"BP",FALSE
"semaphorin receptor complex","GO:0002116","semaphorin receptor complex",0.0200223525613198,0.002314629823656,"CC",FALSE
"myeloid cell homeostasis","GO:0002262","myeloid cell homeostasis",0.00130304879511169,0.0496671211587564,"BP",FALSE
"immune system development","GO:0002520","immune system development",5.99594728460863e-06,0.0166602128872799,"BP",FALSE
"leukocyte differentiation","GO:0002521","leukocyte differentiation",1.59678869299944e-07,0.0495198982435618,"BP",FALSE
"regulation of myeloid leukocyte differentiation","GO:0002761","regulation of myeloid leukocyte differentiation",0.00160549393416105,0.0256517985978979,"BP",FALSE
"negative regulation of peptide secretion","GO:0002792","negative regulation of peptide secretion",0.00533846773359696,0.0415071102880844,"BP",FALSE
"regionalization","GO:0003002","regionalization",0.00015707640605682,4.31565903885837e-19,"BP",FALSE
"developmental process involved in reproduction","GO:0003006","developmental process involved in reproduction",1.47512625104668e-06,0.000207500722664656,"BP",FALSE
"heart morphogenesis","GO:0003007","heart morphogenesis",5.52935177060645e-08,1.73430253017045e-07,"BP",FALSE
"outflow tract septum morphogenesis","GO:0003148","outflow tract septum morphogenesis",0.00695513364343971,9.39591082931115e-05,"BP",FALSE
"outflow tract morphogenesis","GO:0003151","outflow tract morphogenesis",0.00451579641820056,0.00015722749022808,"BP",FALSE
"regulation of animal organ formation","GO:0003156","regulation of animal organ formation",0.0242120077501594,0.000838713817133427,"BP",FALSE
"endothelium development","GO:0003158","endothelium development",8.62918090251541e-08,0.000689034678668445,"BP",FALSE
"morphogenesis of an endothelium","GO:0003159","morphogenesis of an endothelium",0.000608755436744176,0.0195182944441232,"BP",FALSE
"heart valve development","GO:0003170","heart valve development",5.16470792566638e-05,2.69340360189212e-05,"BP",FALSE
"atrioventricular valve development","GO:0003171","atrioventricular valve development",0.000489252045386232,0.0186085008284639,"BP",FALSE
"aortic valve development","GO:0003176","aortic valve development",0.00713845955478353,0.000312418183901033,"BP",FALSE
"heart valve morphogenesis","GO:0003179","heart valve morphogenesis",5.93096780337066e-05,1.72801290744342e-05,"BP",FALSE
"aortic valve morphogenesis","GO:0003180","aortic valve morphogenesis",0.00450149369277734,0.000117344877811275,"BP",FALSE
"atrioventricular valve morphogenesis","GO:0003181","atrioventricular valve morphogenesis",0.000195093995298136,0.0202073777478075,"BP",FALSE
"endocardial cushion development","GO:0003197","endocardial cushion development",0.000319289949866822,0.00127569239754826,"BP",FALSE
"endocardial cushion morphogenesis","GO:0003203","endocardial cushion morphogenesis",0.000792178183146956,0.0031526521275636,"BP",FALSE
"cardiac chamber development","GO:0003205","cardiac chamber development",3.8646708955672e-06,1.55929968547252e-07,"BP",FALSE
"cardiac chamber morphogenesis","GO:0003206","cardiac chamber morphogenesis",4.60839220963941e-07,2.33067423996257e-06,"BP",FALSE
"cardiac ventricle morphogenesis","GO:0003208","cardiac ventricle morphogenesis",0.00124257515817778,0.00779184205100641,"BP",FALSE
"cardiac atrium development","GO:0003230","cardiac atrium development",0.00350753812713226,0.0346476445065682,"BP",FALSE
"cardiac ventricle development","GO:0003231","cardiac ventricle development",0.000696313798341352,1.90434890646284e-06,"BP",FALSE
"endocardial cushion formation","GO:0003272","endocardial cushion formation",0.00329544688129549,0.0132090208081886,"BP",FALSE
"cardiac septum development","GO:0003279","cardiac septum development",6.9865871097174e-05,2.02114178241242e-08,"BP",FALSE
"ventricular septum development","GO:0003281","ventricular septum development",0.00167787747420569,6.31149009018379e-06,"BP",FALSE
"muscle hypertrophy in response to stress","GO:0003299","muscle hypertrophy in response to stress",0.0292956314917163,0.0392862154466422,"BP",FALSE
"cardiac muscle hypertrophy","GO:0003300","cardiac muscle hypertrophy",0.00119987684425338,0.040018592933607,"BP",FALSE
"metanephros morphogenesis","GO:0003338","metanephros morphogenesis",0.0460071844893779,0.0346476445065682,"BP",FALSE
"epithelial cell morphogenesis","GO:0003382","epithelial cell morphogenesis",0.00725286031840515,0.00548235598265038,"BP",FALSE
"chromatin binding","GO:0003682","chromatin binding",0.00462235039305159,7.67623435808297e-10,"MF",FALSE
"double-stranded DNA binding","GO:0003690","double-stranded DNA binding",8.62538138186047e-06,1.65232387495162e-18,"MF",FALSE
"DNA-binding transcription factor activity","GO:0003700","DNA-binding transcription factor activity",7.39091649481224e-11,6.79420548409543e-24,"MF",FALSE
"steroid hormone receptor activity","GO:0003707","steroid hormone receptor activity",8.93794921993552e-07,7.70775026754408e-06,"MF",FALSE
"transcription coregulator activity","GO:0003712","transcription coregulator activity",0.0154709225594129,7.64033499399385e-13,"MF",FALSE
"transcription corepressor activity","GO:0003714","transcription corepressor activity",0.00981651321601815,5.91965183193045e-10,"MF",FALSE
"mRNA 3-UTR binding","GO:0003730","mRNA 3-UTR binding",0.0102687323544709,0.0349106354473226,"MF",FALSE
"actin binding","GO:0003779","actin binding",4.01919324809487e-16,0.0334877727859924,"MF",FALSE
"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity","GO:0003831","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",0.0237930954590889,0.0414142729154032,"MF",FALSE
"N-acetyllactosamine synthase activity","GO:0003945","N-acetyllactosamine synthase activity",0.00955647635419118,0.0280608223218089,"MF",FALSE
"cyclic-nucleotide phosphodiesterase activity","GO:0004112","cyclic-nucleotide phosphodiesterase activity",0.028265755665939,0.00133825528452889,"MF",FALSE
"3,5-cyclic-nucleotide phosphodiesterase activity","GO:0004114","3,5-cyclic-nucleotide phosphodiesterase activity",0.0192166773920385,0.000977734190609861,"MF",FALSE
"protein kinase activity","GO:0004672","protein kinase activity",1.83750008850506e-08,0.00227072642627773,"MF",FALSE
"phosphoprotein phosphatase activity","GO:0004721","phosphoprotein phosphatase activity",2.15819058792132e-05,0.00715961471735058,"MF",FALSE
"protein tyrosine phosphatase activity","GO:0004725","protein tyrosine phosphatase activity",0.000246504164038365,0.0123056799102678,"MF",FALSE
"nuclear receptor activity","GO:0004879","nuclear receptor activity",3.43087456608548e-08,1.15287919796851e-05,"MF",FALSE
"ionotropic glutamate receptor activity","GO:0004970","ionotropic glutamate receptor activity",0.0020116835513256,0.0110567874862019,"MF",FALSE
"transmembrane receptor protein tyrosine phosphatase activity","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity",0.0111792579392591,0.0114017359484732,"MF",FALSE
"protein kinase C binding","GO:0005080","protein kinase C binding",0.0392102428951629,0.000335641364042818,"MF",FALSE
"guanyl-nucleotide exchange factor activity","GO:0005085","guanyl-nucleotide exchange factor activity",1.39638375682003e-05,0.0144531056751853,"MF",FALSE
"Ras guanyl-nucleotide exchange factor activity","GO:0005088","Ras guanyl-nucleotide exchange factor activity",1.58176011450559e-05,0.044392305681185,"MF",FALSE
"GTPase activator activity","GO:0005096","GTPase activator activity",1.0768944815402e-05,0.0208368160929403,"MF",FALSE
"signaling receptor binding","GO:0005102","signaling receptor binding",8.87987490898301e-13,0.00574370927659602,"MF",FALSE
"insulin receptor binding","GO:0005158","insulin receptor binding",0.00826990134685075,0.00871951072240643,"MF",FALSE
"binding","GO:0005488","binding",0.000149164883544696,1.71732989576178e-05,"MF",FALSE
"protein binding","GO:0005515","protein binding",1.97450572098946e-08,1.00789713643149e-07,"MF",FALSE
"glycosaminoglycan binding","GO:0005539","glycosaminoglycan binding",0.0145043643104827,0.00968596259498002,"MF",FALSE
"basement membrane","GO:0005604","basement membrane",0.000452129849668811,0.0197818822846577,"CC",FALSE
"transcription regulator complex","GO:0005667","transcription regulator complex",2.13047014488509e-05,4.18750040818286e-08,"CC",FALSE
"intermediate filament","GO:0005882","intermediate filament",0.0326322244115755,0.0238819199050604,"CC",FALSE
"caveola","GO:0005901","caveola",0.005705410101651,0.00112133081666585,"CC",FALSE
"cell-cell junction","GO:0005911","cell-cell junction",6.94588270214308e-12,1.50904387813125e-06,"CC",FALSE
"adherens junction","GO:0005912","adherens junction",1.07507064656002e-09,0.000231201836648096,"CC",FALSE
"zonula adherens","GO:0005915","zonula adherens",0.010299240066627,0.0244090037069441,"CC",FALSE
"cell cortex","GO:0005938","cell cortex",2.34523272209554e-07,0.00114741614147791,"CC",FALSE
"glycogen biosynthetic process","GO:0005978","glycogen biosynthetic process",0.00110285144096298,0.00625748398013177,"BP",FALSE
"regulation of glycogen biosynthetic process","GO:0005979","regulation of glycogen biosynthetic process",0.00587503291753691,0.0023658428853297,"BP",FALSE
"gluconeogenesis","GO:0006094","gluconeogenesis",0.0395312316545512,0.0353905439983411,"BP",FALSE
"regulation of transcription, DNA-templated","GO:0006355","regulation of transcription, DNA-templated",0.0367959219920545,2.18982140265029e-20,"BP",FALSE
"regulation of transcription by RNA polymerase II","GO:0006357","regulation of transcription by RNA polymerase II",3.8534004116992e-18,7.57048231426564e-32,"BP",FALSE
"transcription by RNA polymerase II","GO:0006366","transcription by RNA polymerase II",7.91554658440027e-14,9.82767189356697e-29,"BP",FALSE
"cellular protein modification process","GO:0006464","cellular protein modification process",0.00271428632456831,0.00148546328790802,"BP",FALSE
"protein phosphorylation","GO:0006468","protein phosphorylation",2.17609059929802e-11,8.48603790240713e-07,"BP",FALSE
"protein dephosphorylation","GO:0006470","protein dephosphorylation",3.20375924700991e-05,0.00311766661061102,"BP",FALSE
"protein deacetylation","GO:0006476","protein deacetylation",0.0300448540428127,0.00178471562692369,"BP",FALSE
"phosphorus metabolic process","GO:0006793","phosphorus metabolic process",6.95913081610381e-09,0.000223444017532331,"BP",FALSE
"phosphate-containing compound metabolic process","GO:0006796","phosphate-containing compound metabolic process",5.12740220270578e-09,0.000162542838326753,"BP",FALSE
"apoptotic process","GO:0006915","apoptotic process",2.42907495677355e-10,0.000203773397929546,"BP",FALSE
"movement of cell or subcellular component","GO:0006928","movement of cell or subcellular component",7.45614329452693e-35,3.06326539297691e-19,"BP",FALSE
"chemotaxis","GO:0006935","chemotaxis",3.20330136515715e-08,9.24864232391464e-09,"BP",FALSE
"cytoskeleton organization","GO:0007010","cytoskeleton organization",3.82170383382154e-12,4.59509067484095e-05,"BP",FALSE
"actin filament organization","GO:0007015","actin filament organization",2.56192930547891e-11,0.000159452473272428,"BP",FALSE
"cell-cell junction assembly","GO:0007043","cell-cell junction assembly",0.00316177521165813,0.00697175063107799,"BP",FALSE
"cell-substrate junction assembly","GO:0007044","cell-substrate junction assembly",4.01818895489442e-10,0.000562347265378153,"BP",FALSE
"cell cycle arrest","GO:0007050","cell cycle arrest",0.0111907252402104,0.0261311118717637,"BP",FALSE
"cell communication","GO:0007154","cell communication",1.23016199416412e-63,8.37782913514018e-13,"BP",FALSE
"cell adhesion","GO:0007155","cell adhesion",1.46028773353763e-27,7.02472257592105e-09,"BP",FALSE
"homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0327610239525702,0.00464163197195925,"BP",FALSE
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.000239513415266824,0.0107773219138509,"BP",FALSE
"neuron cell-cell adhesion","GO:0007158","neuron cell-cell adhesion",0.000649323031431787,0.00268212118395837,"BP",FALSE
"cell-matrix adhesion","GO:0007160","cell-matrix adhesion",6.66707803710174e-11,0.000200716879705407,"BP",FALSE
"negative regulation of cell adhesion","GO:0007162","negative regulation of cell adhesion",4.65716561577397e-05,3.83164629659563e-05,"BP",FALSE
"establishment or maintenance of cell polarity","GO:0007163","establishment or maintenance of cell polarity",0.00547801251059662,8.08108996658119e-05,"BP",FALSE
"signal transduction","GO:0007165","signal transduction",7.50949958339257e-52,1.28233741183421e-11,"BP",FALSE
"cell surface receptor signaling pathway","GO:0007166","cell surface receptor signaling pathway",3.01933552770355e-33,2.9711949424111e-12,"BP",FALSE
"enzyme linked receptor protein signaling pathway","GO:0007167","enzyme linked receptor protein signaling pathway",2.97996742009712e-24,3.61294602741946e-12,"BP",FALSE
"transmembrane receptor protein tyrosine kinase signaling pathway","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",3.24000718575109e-17,1.03366335517451e-06,"BP",FALSE
"regulation of epidermal growth factor-activated receptor activity","GO:0007176","regulation of epidermal growth factor-activated receptor activity",0.0415613583135144,0.0327586111175833,"BP",FALSE
"transmembrane receptor protein serine/threonine kinase signaling pathway","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",4.65746564735808e-09,4.1590764990837e-07,"BP",FALSE
"transforming growth factor beta receptor signaling pathway","GO:0007179","transforming growth factor beta receptor signaling pathway",8.71117846340137e-07,0.00126889774926966,"BP",FALSE
"SMAD protein complex assembly","GO:0007183","SMAD protein complex assembly",0.0320000118573671,0.0120023755961018,"BP",FALSE
"transmembrane receptor protein tyrosine phosphatase signaling pathway","GO:0007185","transmembrane receptor protein tyrosine phosphatase signaling pathway",0.0242767055563261,0.00157292581880607,"BP",FALSE
"glutamate receptor signaling pathway","GO:0007215","glutamate receptor signaling pathway",8.33596282759326e-12,0.0255980370125942,"BP",FALSE
"Notch signaling pathway","GO:0007219","Notch signaling pathway",0.00044716135966411,0.000155994301183779,"BP",FALSE
"small GTPase mediated signal transduction","GO:0007264","small GTPase mediated signal transduction",1.08487218649078e-16,0.00808033650025966,"BP",FALSE
"Rho protein signal transduction","GO:0007266","Rho protein signal transduction",0.000396574071069702,0.0258305638228919,"BP",FALSE
"cell-cell signaling","GO:0007267","cell-cell signaling",1.03375990880154e-30,0.000339928275325725,"BP",FALSE
"ensheathment of neurons","GO:0007272","ensheathment of neurons",4.1552491243693e-05,0.0162766501745426,"BP",FALSE
"multicellular organism development","GO:0007275","multicellular organism development",2.63125817973304e-43,3.97656692034064e-33,"BP",FALSE
"insemination","GO:0007320","insemination",0.0162034608039239,0.0316910105503374,"BP",FALSE
"gastrulation","GO:0007369","gastrulation",0.00171754645430574,0.00186592017712765,"BP",FALSE
"pattern specification process","GO:0007389","pattern specification process",4.53400933316968e-05,5.72008746909491e-19,"BP",FALSE
"nervous system development","GO:0007399","nervous system development",1.32796559789982e-36,3.42017032093341e-35,"BP",FALSE
"axonogenesis","GO:0007409","axonogenesis",9.08461211044731e-11,6.45259534694439e-19,"BP",FALSE
"axon guidance","GO:0007411","axon guidance",2.79423493387437e-06,2.42605079201175e-19,"BP",FALSE
"synapse assembly","GO:0007416","synapse assembly",5.2572050054367e-12,1.42609907812781e-05,"BP",FALSE
"central nervous system development","GO:0007417","central nervous system development",1.80360059576494e-13,3.60623154269339e-23,"BP",FALSE
"brain development","GO:0007420","brain development",1.28202585205669e-13,1.8715004871607e-20,"BP",FALSE
"peripheral nervous system development","GO:0007422","peripheral nervous system development",3.43709509653908e-07,0.00170265271400674,"BP",FALSE
"sensory organ development","GO:0007423","sensory organ development",3.00813557184909e-11,2.52735828402337e-14,"BP",FALSE
"hindgut morphogenesis","GO:0007442","hindgut morphogenesis",0.019049438801961,0.0176995674441033,"BP",FALSE
"endoderm development","GO:0007492","endoderm development",0.0019926126117931,0.000126686559706457,"BP",FALSE
"mesoderm development","GO:0007498","mesoderm development",0.00348528759291636,8.77586653060559e-06,"BP",FALSE
"heart development","GO:0007507","heart development",4.74866757711678e-09,1.21615041724397e-10,"BP",FALSE
"muscle organ development","GO:0007517","muscle organ development",6.33276836074548e-16,1.58815559531314e-05,"BP",FALSE
"skeletal muscle tissue development","GO:0007519","skeletal muscle tissue development",3.81425960980691e-09,0.000271398812911322,"BP",FALSE
"sex differentiation","GO:0007548","sex differentiation",2.30341458391802e-05,0.0102389495956437,"BP",FALSE
"respiratory gaseous exchange by respiratory system","GO:0007585","respiratory gaseous exchange by respiratory system",0.000999105756367507,0.0140155866961116,"BP",FALSE
"behavior","GO:0007610","behavior",4.1324231952457e-08,0.00202324498128658,"BP",FALSE
"learning or memory","GO:0007611","learning or memory",2.77488558267776e-09,0.00156198335328296,"BP",FALSE
"learning","GO:0007612","learning",0.000224666695971165,5.59539169606673e-06,"BP",FALSE
"memory","GO:0007613","memory",2.44896348057944e-08,0.00881631298608585,"BP",FALSE
"circadian rhythm","GO:0007623","circadian rhythm",5.04121071666687e-07,0.0269516489346986,"BP",FALSE
"locomotory behavior","GO:0007626","locomotory behavior",2.20417248369725e-06,0.0230631007354202,"BP",FALSE
"beta-catenin binding","GO:0008013","beta-catenin binding",0.00147083752529474,2.28643120017389e-05,"MF",FALSE
"regulation of actin polymerization or depolymerization","GO:0008064","regulation of actin polymerization or depolymerization",0.00106231931412141,0.00504103616591421,"BP",FALSE
"glutamate receptor activity","GO:0008066","glutamate receptor activity",9.38278400064629e-06,0.0361685893651348,"MF",FALSE
"cytoskeletal protein binding","GO:0008092","cytoskeletal protein binding",1.27996085824316e-21,0.0334062157964086,"MF",FALSE
"transcription factor binding","GO:0008134","transcription factor binding",5.87476914773298e-06,1.6448930634583e-14,"MF",FALSE
"actin polymerization or depolymerization","GO:0008154","actin polymerization or depolymerization",3.58477181114625e-05,0.028448243693719,"BP",FALSE
"heparin binding","GO:0008201","heparin binding",0.000900098232737184,0.00128099817208868,"MF",FALSE
"cell death","GO:0008219","cell death",1.18465437742017e-12,2.25793963249871e-05,"BP",FALSE
"cell population proliferation","GO:0008283","cell population proliferation",3.33582527504847e-13,5.90566911415258e-12,"BP",FALSE
"positive regulation of cell population proliferation","GO:0008284","positive regulation of cell population proliferation",3.21740898090354e-08,0.000305268256872869,"BP",FALSE
"negative regulation of cell population proliferation","GO:0008285","negative regulation of cell population proliferation",2.83013287590556e-08,5.78729122710103e-05,"BP",FALSE
"insulin receptor signaling pathway","GO:0008286","insulin receptor signaling pathway",0.00021996946687196,0.0180942360341507,"BP",FALSE
"associative learning","GO:0008306","associative learning",0.0021033644237523,0.012341479354483,"BP",FALSE
"adult locomotory behavior","GO:0008344","adult locomotory behavior",0.0373202295843488,0.0117820781796538,"BP",FALSE
"regulation of cell size","GO:0008361","regulation of cell size",0.000521500930551782,0.000708799436026509,"BP",FALSE
"axon ensheathment","GO:0008366","axon ensheathment",4.1552491243693e-05,0.0162766501745426,"BP",FALSE
"visual learning","GO:0008542","visual learning",0.00372068900170259,0.0363525837043729,"BP",FALSE
"fibroblast growth factor receptor signaling pathway","GO:0008543","fibroblast growth factor receptor signaling pathway",0.0373078825324416,3.99497913985591e-07,"BP",FALSE
