"","GOID","Ontology.ATAC","Pvalue.ATAC","Term.ATAC","lipid.related"
"125","GO:0003203","BP",0.00316506116354865,"endocardial cushion morphogenesis",FALSE
"126","GO:0003205","BP",0.0302695828281592,"cardiac chamber development",FALSE
"127","GO:0003206","BP",0.0041773475565584,"cardiac chamber morphogenesis",FALSE
"128","GO:0003207","BP",0.00150435130996293,"cardiac chamber formation",FALSE
"129","GO:0003209","BP",0.0267678352334923,"cardiac atrium morphogenesis",FALSE
"130","GO:0003211","BP",0.00630190716106512,"cardiac ventricle formation",FALSE
"131","GO:0003213","BP",0.00239601670849519,"cardiac right atrium morphogenesis",FALSE
"132","GO:0003230","BP",0.0389310873451863,"cardiac atrium development",FALSE
"133","GO:0003231","BP",0.0209976775735907,"cardiac ventricle development",FALSE
"134","GO:0003249","BP",0.016577533733663,"cell proliferation involved in heart valve morphogenesis",FALSE
"135","GO:0003250","BP",0.016577533733663,"regulation of cell proliferation involved in heart valve morphogenesis",FALSE
"136","GO:0003253","BP",0.0199924801373927,"cardiac neural crest cell migration involved in outflow tract morphogenesis",FALSE
"137","GO:0003256","BP",0.0361893609635655,"regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation",FALSE
"138","GO:0003261","BP",0.0202799624078746,"cardiac muscle progenitor cell migration to the midline involved in heart field formation",FALSE
"139","GO:0003263","BP",0.00108726284555452,"cardioblast proliferation",FALSE
"140","GO:0003264","BP",0.00108726284555452,"regulation of cardioblast proliferation",FALSE
"141","GO:0003266","BP",0.00630190716106512,"regulation of secondary heart field cardioblast proliferation",FALSE
"142","GO:0003272","BP",0.028342431139742,"endocardial cushion formation",FALSE
"143","GO:0003273","BP",0.0134407470382668,"cell migration involved in endocardial cushion formation",FALSE
"144","GO:0003279","BP",0.000720446449593176,"cardiac septum development",FALSE
"145","GO:0003281","BP",0.000388393226284773,"ventricular septum development",FALSE
"146","GO:0003300","BP",0.00850436395239061,"cardiac muscle hypertrophy",FALSE
"147","GO:0003303","BP",0.0134407470382668,"BMP signaling pathway involved in heart jogging",FALSE
"148","GO:0003307","BP",0.0361893609635655,"regulation of Wnt signaling pathway involved in heart development",FALSE
"149","GO:0003308","BP",0.0199924801373927,"negative regulation of Wnt signaling pathway involved in heart development",FALSE
"150","GO:0003309","BP",0.028342431139742,"type B pancreatic cell differentiation",FALSE
"151","GO:0003310","BP",0.00630190716106512,"pancreatic A cell differentiation",FALSE
"152","GO:0003338","BP",0.0389310873451863,"metanephros morphogenesis",FALSE
"153","GO:0003344","BP",0.00455700116299347,"pericardium morphogenesis",FALSE
"154","GO:0003345","BP",0.0202799624078746,"proepicardium cell migration involved in pericardium morphogenesis",FALSE
"155","GO:0003357","BP",0.0134407470382668,"noradrenergic neuron differentiation",FALSE
"156","GO:0003383","BP",0.00583059468528606,"apical constriction",FALSE
"157","GO:0003402","BP",0.0236730710406464,"planar cell polarity pathway involved in axis elongation",FALSE
"158","GO:0003420","BP",0.0401496307603072,"regulation of growth plate cartilage chondrocyte proliferation",FALSE
"159","GO:0003676","MF",0.00097980242644205,"nucleic acid binding",FALSE
"160","GO:0003677","MF",4.06690933087582e-07,"DNA binding",FALSE
"161","GO:0003682","MF",0.000129241976209886,"chromatin binding",FALSE
"162","GO:0003690","MF",2.60136219461236e-09,"double-stranded DNA binding",FALSE
"163","GO:0003700","MF",5.56446358386975e-10,"DNA-binding transcription factor activity",FALSE
"164","GO:0003707","MF",0.00194703128817702,"steroid hormone receptor activity",FALSE
"165","GO:0003712","MF",2.97505950284233e-06,"transcription coregulator activity",FALSE
"166","GO:0003713","MF",0.001139947854083,"transcription coactivator activity",FALSE
"167","GO:0003714","MF",0.000507866935468778,"transcription corepressor activity",FALSE
"168","GO:0003920","MF",0.040622984188158,"GMP reductase activity",FALSE
"169","GO:0004112","MF",0.0455094621964877,"cyclic-nucleotide phosphodiesterase activity",FALSE
"170","GO:0004114","MF",0.0426362088313455,"3',5'-cyclic-nucleotide phosphodiesterase activity",FALSE
"171","GO:0004115","MF",0.0417021889581192,"3',5'-cyclic-AMP phosphodiesterase activity",FALSE
"172","GO:0004564","MF",0.040622984188158,"beta-fructofuranosidase activity",FALSE
"173","GO:0004574","MF",0.040622984188158,"oligo-1,6-glucosidase activity",FALSE
"174","GO:0004575","MF",0.040622984188158,"sucrose alpha-glucosidase activity",FALSE
"175","GO:0004714","MF",0.0142063576128086,"transmembrane receptor protein tyrosine kinase activity",FALSE
"176","GO:0004860","MF",0.0348475111971659,"protein kinase inhibitor activity",FALSE
"177","GO:0004879","MF",0.000943243387263962,"nuclear receptor activity",FALSE
"178","GO:0004883","MF",0.040622984188158,"glucocorticoid receptor activity",FALSE
"179","GO:0004970","MF",0.00815716844963897,"ionotropic glutamate receptor activity",FALSE
"180","GO:0005018","MF",0.0205215695832317,"platelet-derived growth factor alpha-receptor activity",FALSE
"181","GO:0005104","MF",0.0371741341266519,"fibroblast growth factor receptor binding",FALSE
"182","GO:0005115","MF",0.0205215695832317,"receptor tyrosine kinase-like orphan receptor binding",FALSE
"183","GO:0005158","MF",0.0426362088313455,"insulin receptor binding",FALSE
"184","GO:0005173","MF",0.00824057365359243,"stem cell factor receptor binding",FALSE
"185","GO:0005199","MF",0.0205215695832317,"structural constituent of cell wall",FALSE
"186","GO:0005234","MF",0.00596682508715625,"extracellularly glutamate-gated ion channel activity",FALSE
"187","GO:0005488","MF",0.000156708402102036,"binding",FALSE
"188","GO:0005515","MF",0.00401023638526509,"protein binding",FALSE
"189","GO:0005543","MF",0.000604220717462373,"phospholipid binding",TRUE
"190","GO:0005545","MF",0.0126119246116399,"1-phosphatidylinositol binding",FALSE
"191","GO:0005547","MF",0.0294294546052201,"phosphatidylinositol-3,4,5-trisphosphate binding",FALSE
"192","GO:0005634","CC",0.00960053721862,"nucleus",FALSE
"193","GO:0005654","CC",0.00181904826799959,"nucleoplasm",FALSE
"194","GO:0005667","CC",6.01768248858173e-06,"transcription regulator complex",FALSE
"195","GO:0005694","CC",0.000880210968081552,"chromosome",FALSE
"196","GO:0005923","CC",0.011273375043432,"bicellular tight junction",FALSE
"197","GO:0005978","BP",0.0449644572995113,"glycogen biosynthetic process",FALSE
"198","GO:0005979","BP",0.00934026874176589,"regulation of glycogen biosynthetic process",FALSE
"199","GO:0005981","BP",0.0199924801373927,"regulation of glycogen catabolic process",FALSE
"200","GO:0006139","BP",0.000957050168831219,"nucleobase-containing compound metabolic process",FALSE
"201","GO:0006195","BP",0.0316538772903862,"purine nucleotide catabolic process",FALSE
"202","GO:0006198","BP",0.0236730710406464,"cAMP catabolic process",FALSE
"203","GO:0006325","BP",0.001520598772598,"chromatin organization",FALSE
"204","GO:0006351","BP",2.86057325606812e-06,"transcription, DNA-templated",FALSE
"205","GO:0006352","BP",0.0302695828281592,"DNA-templated transcription, initiation",FALSE
"206","GO:0006355","BP",4.81810641985672e-07,"regulation of transcription, DNA-templated",FALSE
"207","GO:0006357","BP",1.90218765905569e-10,"regulation of transcription by RNA polymerase II",FALSE
"208","GO:0006366","BP",1.99201982437336e-09,"transcription by RNA polymerase II",FALSE
"209","GO:0006367","BP",0.00538796576974267,"transcription initiation from RNA polymerase II promoter",FALSE
"210","GO:0006464","BP",0.00498671240957887,"cellular protein modification process",FALSE
"211","GO:0006468","BP",0.00116091530438329,"protein phosphorylation",FALSE
"212","GO:0006473","BP",0.0175470065066091,"protein acetylation",FALSE
"213","GO:0006476","BP",0.000599594909351783,"protein deacetylation",FALSE
"214","GO:0006582","BP",0.0244530472758905,"melanin metabolic process",FALSE
"215","GO:0006636","BP",0.0154409992576078,"unsaturated fatty acid biosynthetic process",TRUE
"216","GO:0006637","BP",0.0463800505963955,"acyl-CoA metabolic process",FALSE
"217","GO:0006695","BP",0.03336696348109,"cholesterol biosynthetic process",FALSE
"218","GO:0006725","BP",0.00189904536877453,"cellular aromatic compound metabolic process",FALSE
"219","GO:0006793","BP",0.00509698610792911,"phosphorus metabolic process",FALSE
"220","GO:0006796","BP",0.00558422353805288,"phosphate-containing compound metabolic process",FALSE
"221","GO:0006807","BP",0.0401032702047916,"nitrogen compound metabolic process",FALSE
"222","GO:0006915","BP",0.00194223756200458,"apoptotic process",FALSE
"223","GO:0006928","BP",5.08578250061016e-06,"movement of cell or subcellular component",FALSE
"224","GO:0006935","BP",0.00652283114305927,"chemotaxis",FALSE
"225","GO:0007019","BP",0.0470851961580103,"microtubule depolymerization",FALSE
"226","GO:0007049","BP",0.0250122098282798,"cell cycle",FALSE
"227","GO:0007154","BP",0.000559838134588994,"cell communication",FALSE
"228","GO:0007155","BP",0.0160414007711413,"cell adhesion",FALSE
"229","GO:0007163","BP",0.0083244991611869,"establishment or maintenance of cell polarity",FALSE
"230","GO:0007165","BP",0.00068842702455174,"signal transduction",FALSE
"231","GO:0007166","BP",2.42693769026355e-05,"cell surface receptor signaling pathway",FALSE
"232","GO:0007167","BP",4.92564183560255e-05,"enzyme linked receptor protein signaling pathway",FALSE
"233","GO:0007169","BP",0.0121744109239117,"transmembrane receptor protein tyrosine kinase signaling pathway",FALSE
"234","GO:0007178","BP",0.00022264840929981,"transmembrane receptor protein serine/threonine kinase signaling pathway",FALSE
"235","GO:0007224","BP",0.00111648604940888,"smoothened signaling pathway",FALSE
"236","GO:0007267","BP",0.00642399590781035,"cell-cell signaling",FALSE
"237","GO:0007275","BP",6.38722121197973e-08,"multicellular organism development",FALSE
"238","GO:0007368","BP",0.00591391294818929,"determination of left/right symmetry",FALSE
"239","GO:0007369","BP",0.000698005540935927,"gastrulation",FALSE
"240","GO:0007389","BP",8.5438025969831e-06,"pattern specification process",FALSE
"241","GO:0007399","BP",1.62037773154807e-08,"nervous system development",FALSE
"242","GO:0007409","BP",0.000545916688143862,"axonogenesis",FALSE
"243","GO:0007411","BP",0.000350192463451511,"axon guidance",FALSE
"244","GO:0007416","BP",0.00507081158439063,"synapse assembly",FALSE
"245","GO:0007417","BP",5.74691022583177e-07,"central nervous system development",FALSE
"246","GO:0007420","BP",1.6327399310702e-05,"brain development",FALSE
"247","GO:0007423","BP",3.77799374726934e-08,"sensory organ development",FALSE
"248","GO:0007442","BP",0.016577533733663,"hindgut morphogenesis",FALSE
"249","GO:0007492","BP",1.40497612960359e-05,"endoderm development",FALSE
"250","GO:0007493","BP",0.00583059468528606,"endodermal cell fate determination",FALSE
"251","GO:0007498","BP",0.000248086757671841,"mesoderm development",FALSE
"252","GO:0007507","BP",6.77749902835399e-05,"heart development",FALSE
"253","GO:0007517","BP",0.00181245416712441,"muscle organ development",FALSE
"254","GO:0007519","BP",0.028437953300989,"skeletal muscle tissue development",FALSE
"255","GO:0007585","BP",0.00501318895179103,"respiratory gaseous exchange by respiratory system",FALSE
"256","GO:0007610","BP",0.0140904973372165,"behavior",FALSE
"257","GO:0007622","BP",0.0362464782932809,"rhythmic behavior",FALSE
"258","GO:0007632","BP",0.0344138401196722,"visual behavior",FALSE
"259","GO:0008047","MF",0.0374075260465308,"enzyme activator activity",FALSE
"260","GO:0008066","MF",0.0247050561747833,"glutamate receptor activity",FALSE
"261","GO:0008134","MF",2.58023996313862e-09,"transcription factor binding",FALSE
"262","GO:0008219","BP",0.00110562975944466,"cell death",FALSE
"263","GO:0008283","BP",1.01941799771826e-07,"cell population proliferation",FALSE
"264","GO:0008284","BP",4.56586814657439e-05,"positive regulation of cell population proliferation",FALSE
"265","GO:0008285","BP",7.94991660445133e-06,"negative regulation of cell population proliferation",FALSE
"266","GO:0008289","MF",0.016233006993871,"lipid binding",TRUE
"267","GO:0008305","CC",0.0429752138107179,"integrin complex",FALSE
"268","GO:0008345","BP",0.0276071822972687,"larval locomotory behavior",FALSE
"269","GO:0008457","MF",0.0204431588478563,"beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity",FALSE
"270","GO:0008488","MF",0.0205215695832317,"gamma-glutamyl carboxylase activity",FALSE
"271","GO:0008525","MF",0.0417021889581192,"phosphatidylcholine transporter activity",FALSE
"272","GO:0008532","MF",0.0324840949753299,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity",FALSE
"273","GO:0008542","BP",0.0319824229130219,"visual learning",FALSE
"274","GO:0008543","BP",0.00411674745186525,"fibroblast growth factor receptor signaling pathway",FALSE
"275","GO:0008544","BP",0.00032602361821318,"epidermis development",FALSE
"276","GO:0008589","BP",0.0203192420825069,"regulation of smoothened signaling pathway",FALSE
"277","GO:0008941","MF",0.0205215695832317,"nitric oxide dioxygenase activity",FALSE
"278","GO:0009058","BP",0.000841449477915944,"biosynthetic process",FALSE
"279","GO:0009059","BP",3.39266231900757e-05,"macromolecule biosynthetic process",FALSE
"280","GO:0009154","BP",0.00648921011188843,"purine ribonucleotide catabolic process",FALSE
"281","GO:0009166","BP",0.0392744441516638,"nucleotide catabolic process",FALSE
"282","GO:0009214","BP",0.00630190716106512,"cyclic nucleotide catabolic process",FALSE
"283","GO:0009250","BP",0.0449644572995113,"glucan biosynthetic process",FALSE
"284","GO:0009261","BP",0.00713872173971451,"ribonucleotide catabolic process",FALSE
"285","GO:0009409","BP",0.0256029641548991,"response to cold",FALSE
"286","GO:0009444","BP",0.0202799624078746,"pyruvate oxidation",FALSE
"287","GO:0009648","BP",0.0172291698800503,"photoperiodism",FALSE
"288","GO:0009653","BP",2.02639343092746e-08,"anatomical structure morphogenesis",FALSE
"289","GO:0009719","BP",0.000220165263480548,"response to endogenous stimulus",FALSE
"290","GO:0009725","BP",0.0232644645386203,"response to hormone",FALSE
"291","GO:0009755","BP",0.00108311469718646,"hormone-mediated signaling pathway",FALSE
"292","GO:0009790","BP",2.35875231175473e-06,"embryo development",FALSE
"293","GO:0009792","BP",0.00224960324588483,"embryo development ending in birth or egg hatching",FALSE
"294","GO:0009794","BP",0.0276071822972687,"regulation of mitotic cell cycle, embryonic",FALSE
"295","GO:0009798","BP",0.000222678850571447,"axis specification",FALSE
"296","GO:0009799","BP",0.0130581881096155,"specification of symmetry",FALSE
"297","GO:0009855","BP",0.0125071146732734,"determination of bilateral symmetry",FALSE
"298","GO:0009887","BP",5.86731028529572e-07,"animal organ morphogenesis",FALSE
"299","GO:0009888","BP",7.64162912165645e-08,"tissue development",FALSE
"300","GO:0009889","BP",2.57411295032781e-08,"regulation of biosynthetic process",FALSE
"301","GO:0009890","BP",1.46696546427902e-09,"negative regulation of biosynthetic process",FALSE
"302","GO:0009891","BP",4.61801227308739e-10,"positive regulation of biosynthetic process",FALSE
"303","GO:0009892","BP",2.09232337613355e-05,"negative regulation of metabolic process",FALSE
"304","GO:0009893","BP",1.40872370226699e-07,"positive regulation of metabolic process",FALSE
"305","GO:0009912","BP",0.0276071822972687,"auditory receptor cell fate commitment",FALSE
"306","GO:0009913","BP",0.00496490040465504,"epidermal cell differentiation",FALSE
"307","GO:0009922","MF",0.0282205550650084,"fatty acid elongase activity",TRUE
"308","GO:0009925","CC",0.00690643776364714,"basal plasma membrane",FALSE
"309","GO:0009950","BP",0.0101617774446182,"dorsal/ventral axis specification",FALSE
"310","GO:0009952","BP",0.000126061917637028,"anterior/posterior pattern specification",FALSE
"311","GO:0009953","BP",0.000200497887225738,"dorsal/ventral pattern formation",FALSE
"312","GO:0009954","BP",0.0428984908097444,"proximal/distal pattern formation",FALSE
"313","GO:0009966","BP",1.16220827269279e-05,"regulation of signal transduction",FALSE
"314","GO:0009967","BP",0.00721995816369776,"positive regulation of signal transduction",FALSE
"315","GO:0009968","BP",6.36114488661844e-06,"negative regulation of signal transduction",FALSE
"316","GO:0009996","BP",0.0408150408773603,"negative regulation of cell fate specification",FALSE
"317","GO:0010001","BP",1.93537043112138e-05,"glial cell differentiation",FALSE
"318","GO:0010033","BP",0.00362236900017746,"response to organic substance",FALSE
"319","GO:0010092","BP",0.0172087043699804,"specification of animal organ identity",FALSE
"320","GO:0010181","MF",0.0242028702152237,"FMN binding",FALSE
"321","GO:0010453","BP",0.000184326259091205,"regulation of cell fate commitment",FALSE
"322","GO:0010454","BP",0.00174970024676459,"negative regulation of cell fate commitment",FALSE
"323","GO:0010467","BP",0.00123290680558567,"gene expression",FALSE
"324","GO:0010468","BP",2.15489985468474e-05,"regulation of gene expression",FALSE
"325","GO:0010556","BP",8.59008146117695e-08,"regulation of macromolecule biosynthetic process",FALSE
"326","GO:0010557","BP",3.12325895798237e-09,"positive regulation of macromolecule biosynthetic process",FALSE
"327","GO:0010558","BP",3.24431387534668e-09,"negative regulation of macromolecule biosynthetic process",FALSE
"328","GO:0010562","BP",0.00623059106759568,"positive regulation of phosphorus metabolic process",FALSE
"329","GO:0010563","BP",0.00381821712003361,"negative regulation of phosphorus metabolic process",FALSE
"330","GO:0010594","BP",0.0198934358843746,"regulation of endothelial cell migration",FALSE
"331","GO:0010596","BP",0.00763700038756685,"negative regulation of endothelial cell migration",FALSE
"332","GO:0010604","BP",3.76533613186331e-07,"positive regulation of macromolecule metabolic process",FALSE
"333","GO:0010605","BP",2.40192018771335e-05,"negative regulation of macromolecule metabolic process",FALSE
"334","GO:0010611","BP",0.0110742115229063,"regulation of cardiac muscle hypertrophy",FALSE
"335","GO:0010614","BP",0.0470846724316091,"negative regulation of cardiac muscle hypertrophy",FALSE
"336","GO:0010628","BP",1.398360856374e-06,"positive regulation of gene expression",FALSE
"337","GO:0010629","BP",1.28040836240506e-05,"negative regulation of gene expression",FALSE
"338","GO:0010632","BP",0.0164302760567205,"regulation of epithelial cell migration",FALSE
"339","GO:0010633","BP",0.00239553239798397,"negative regulation of epithelial cell migration",FALSE
"340","GO:0010646","BP",9.33484777825149e-05,"regulation of cell communication",FALSE
