GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0060322	1.52858587006003e-22	1.8405689194349	272.908196072612	421	1585	head development	3.71928230950651	7.78249588626217e-20
GO:0050793	1.60506780485225e-22	1.54171502256609	683.217490230994	896	3968	regulation of developmental process	1.26299102497399	7.83139333117492e-20
GO:0048468	2.40639119064273e-22	1.5476133130246	657.045852500371	866	3816	cell development	1.31988697045212	1.12715363369705e-19
GO:0045935	4.3562911224107e-22	1.66161904322087	424.256022159569	600	2464	positive regulation of nucleobase-containing compound metabolic process	2.19333730392984	1.96200650167036e-19
GO:1903508	5.15183763245131e-22	1.70457906474297	371.740564871148	538	2159	positive regulation of nucleic acid-templated transcription	2.5616074207927	2.16598505418305e-19
GO:0048858	5.17912737123189e-22	1.89939397683197	234.167284958203	371	1360	cell projection morphogenesis	4.45175929930796	2.16598505418305e-19
GO:1902680	5.74798127068001e-22	1.70341544838994	371.912746698323	538	2160	positive regulation of RNA biosynthetic process	2.55923611111111	2.32099519585044e-19
GO:0000902	6.56857471506278e-22	1.73745037284461	337.648563090468	497	1961	cell morphogenesis	2.86838064335106	2.5639336637795e-19
GO:0120039	1.07914373947944e-21	1.89200643064205	233.478557649503	369	1356	plasma membrane bounded cell projection morphogenesis	4.45392160701699	4.07637844816264e-19
GO:2000113	1.32387503180708e-21	1.75380312241345	317.847652965326	472	1846	negative regulation of cellular macromolecule biosynthetic process	3.07407307416463	4.84455519451902e-19
GO:0040011	1.68211969134821e-21	1.59353164956764	515.168026908048	702	2992	locomotion	1.74040176656467	5.96897623808715e-19
GO:0048667	1.89679818645411e-21	1.92668356059238	215.055102141762	345	1249	cell morphogenesis involved in neuron differentiation	4.90828531520172	6.53279610687578e-19
GO:0010556	2.27481866739966e-21	1.48492281483303	837.836771034278	1059	4866	regulation of macromolecule biosynthetic process	0.992629853691763	7.61089331292858e-19
GO:0045893	2.62853802448806e-21	1.70504835989773	355.727654943859	516	2066	positive regulation of transcription, DNA-templated	2.68302456496131	8.55005007409866e-19
GO:2000112	2.83544899183379e-21	1.48883173225906	812.526042439531	1031	4719	regulation of cellular macromolecule biosynthetic process	1.02752948375095	8.97381289037128e-19
GO:0051253	3.37727883043338e-21	1.76040626892921	305.106197754365	455	1772	negative regulation of RNA metabolic process	3.21602594153346	1.04073513432566e-18
GO:0032990	3.54015730113898e-21	1.86638048968766	238.988376119108	374	1388	cell part morphogenesis	4.30852137298707	1.06295492298301e-18
GO:2001141	3.98733228597164e-21	1.50603142369603	731.772765494386	942	4250	regulation of RNA biosynthetic process	1.15746701730104	1.1672915267182e-18
GO:0048666	4.18660844687717e-21	1.68850916744785	368.296928327645	530	2139	neuron development	2.57092781031101	1.19573621738858e-18
GO:0019219	4.43083370088818e-21	1.48038940737163	839.386407478854	1059	4875	regulation of nucleobase-containing compound metabolic process	0.988968142011834	1.23535863422382e-18
GO:0048812	4.61050789445702e-21	1.8823195679738	229.69055745165	362	1334	neuron projection morphogenesis	4.51473738393172	1.25555924288585e-18
GO:1903506	5.70000198928786e-21	1.50391687701835	730.739674531335	940	4244	regulation of nucleic acid-templated transcription	1.15827767270931	1.51697780214911e-18
GO:0060429	1.11053814259515e-20	1.66296836671856	386.892565662561	550	2247	epithelium development	2.41764274929991	2.88986703328648e-18
GO:0031324	1.18283774476157e-20	1.55389853671853	567.511302369293	757	3296	negative regulation of cellular metabolic process	1.54652539265011	3.01109347633869e-18
GO:0031323	1.28808256029288e-20	1.41842877656168	1341.46861552159	1585	7791	regulation of cellular metabolic process	0.579533358667898	3.20924399596374e-18
GO:0031175	1.34671032212997e-20	1.73218275266023	316.29801652075	466	1837	neuron projection development	3.06480738725449	3.28541205669625e-18
GO:0048598	1.38271815583265e-20	1.84039538253055	243.981649107187	378	1417	embryonic morphogenesis	4.17818514868103	3.3044142050613e-18
GO:0009887	1.77540114819362e-20	1.67753391693278	365.542019092843	524	2123	animal organ morphogenesis	2.58028026266832	4.15798948906946e-18
GO:0007420	1.8715004871607e-20	1.80868768020603	259.822377207301	397	1509	brain development	3.86943547462738	4.29711190287289e-18
GO:0006355	2.18982140265029e-20	1.49768609610791	720.064401246476	925	4182	regulation of transcription, DNA-templated	1.17384095395516	4.93130935096826e-18
GO:0031327	3.33142907939429e-20	1.69102894295657	345.39674531335	499	2006	negative regulation of cellular biosynthetic process	2.75216374803804	7.36057255088813e-18
GO:0045595	4.24372359317293e-20	1.58636812005914	480.903843300193	656	2793	regulation of cell differentiation	1.86636916058752	9.20259319926944e-18
GO:2000026	4.91594355713019e-20	1.54567254392229	561.484938418163	747	3261	regulation of multicellular organismal development	1.55903040787292	1.04664907370899e-17
GO:0045934	5.20173390260162e-20	1.70920052437	324.218380570807	473	1883	negative regulation of nucleobase-containing compound metabolic process	2.96071144423552	1.08771971427616e-17
GO:0051172	5.32708612512863e-20	1.56099022640139	526.187663847257	707	3056	negative regulation of nitrogen compound metabolic process	1.68015092616705	1.09438909693432e-17
GO:0045892	5.89151865249505e-20	1.76986723811499	276.17965078894	415	1604	negative regulation of transcription, DNA-templated	3.57993342703093	1.18947730035719e-17
GO:0009890	6.03674859861606e-20	1.67923247087814	351.42310926448	505	2041	negative regulation of biosynthetic process	2.69054927633681	1.198141120166e-17
GO:0010557	7.084146122992e-20	1.6186998852669	422.706385714992	588	2455	positive regulation of macromolecule biosynthetic process	2.16525931118587	1.38258918500394e-17
GO:0031326	7.27429055552962e-20	1.4562346270713	872.961863778009	1088	5070	regulation of cellular biosynthetic process	0.939395679422989	1.396425285332e-17
GO:0032501	8.88022724261021e-20	1.40524136686184	1832.35900479794	2074	10642	multicellular organismal process	0.406441293254229	1.67721711308009e-17
GO:0010558	1.01235492273666e-19	1.69304539601875	332.827471929564	482	1933	negative regulation of macromolecule biosynthetic process	2.8629839402712	1.88169462622956e-17
GO:0009790	1.15933189273981e-19	1.63681195705777	392.574565959341	552	2280	embryo development	2.35670360110803	2.09907612070262e-17
GO:0051171	1.17477549707155e-19	1.41056167812352	1252.62279269921	1487	7275	regulation of nitrogen compound metabolic process	0.623563311722819	2.09907612070262e-17
GO:0080090	1.18578522762389e-19	1.40795762250941	1296.18479497453	1532	7528	regulation of primary metabolic process	0.599977723971491	2.09907612070262e-17
GO:0097659	1.20100854045325e-19	1.47596057307393	760.527130632636	965	4417	nucleic acid-templated transcription	1.09776175558969	2.09907612070262e-17
GO:0009889	1.51058931244533e-19	1.44868013267271	889.663501013998	1104	5167	regulation of biosynthetic process	0.917757055623386	2.60132365422572e-17
GO:0032774	1.53560207062092e-19	1.47373599298892	762.937676213088	967	4431	RNA biosynthetic process	1.09309663084928	2.606072499561e-17
GO:1903507	1.84385344471173e-19	1.74533496954193	284.444378493347	423	1652	negative regulation of nucleic acid-templated transcription	3.43997956838581	3.08450340536777e-17
GO:0097485	1.89959504532577e-19	2.31784880771182	106.064005539892	196	616	neuron projection guidance	11.4638429752066	3.13299408179786e-17
GO:1902679	2.07217232695637e-19	1.74380353810078	284.616560320522	423	1653	negative regulation of RNA biosynthetic process	3.43581872259973	3.37015804842487e-17
GO:0007411	2.42605079201175e-19	2.31663545795269	105.547460058367	195	613	axon guidance	11.5172619348589	3.8916513389668e-17
GO:0006928	3.06326539297691e-19	1.52574366125631	575.948211900876	759	3345	movement of cell or subcellular component	1.50551509179754	4.84741050699454e-17
GO:0048522	3.1109539491443e-19	1.40292587922814	1285.33733986249	1518	7465	positive regulation of cellular process	0.60457158187191	4.85723609926396e-17
GO:0048518	3.80599683484699e-19	1.39695147385984	1390.02389078498	1625	8073	positive regulation of biological process	0.553374371899892	5.86423986000766e-17
GO:0006351	3.9682141261543e-19	1.46998776675905	751.401493792353	952	4364	transcription, DNA-templated	1.10943802345833	6.03477758665804e-17
GO:0003002	4.31565903885837e-19	2.15238095238095	128.964188554187	226	749	regionalization	8.94088245832004	6.47902145449122e-17
GO:0007389	5.72008746909491e-19	1.96180643491204	173.731463619726	284	1009	pattern specification process	6.19115374906319	8.47876256494955e-17
GO:0007409	6.45259534694439e-19	1.94972448176332	177.002918336054	288	1028	axonogenesis	6.04841859831337	9.44498643908986e-17
GO:0048519	7.25371452481512e-19	1.40276590610599	1208.54424494238	1436	7019	negative regulation of biological process	0.646903553522047	1.04865428500722e-16
GO:0010604	8.73027168899685e-19	1.45421901061074	798.407132611169	1001	4637	positive regulation of macromolecule metabolic process	1.03322633593543	1.24672538387992e-16
GO:0009893	8.96686571301916e-19	1.44101634745922	867.107681654054	1075	5036	positive regulation of metabolic process	0.940746482356422	1.26508430722234e-16
GO:0051093	9.30875219732281e-19	1.77818483817851	250.524558539843	379	1455	negative regulation of developmental process	3.97327665001594	1.29768438369822e-16
GO:0031325	1.10690774538159e-18	1.45820120154974	772.235494880546	972	4485	positive regulation of cellular metabolic process	1.07244974888424	1.52492819981393e-16
GO:0031328	1.31653662008689e-18	1.57804809884223	445.434386902112	608	2587	positive regulation of cellular biosynthetic process	2.01625892837265	1.79263300246715e-16
GO:0051173	1.80202603427698e-18	1.46459948539919	730.22312904981	925	4241	positive regulation of nitrogen compound metabolic process	1.14140762515192	2.42548561625096e-16
GO:0009891	2.37807103372136e-18	1.56902338672872	451.805114507593	614	2624	positive regulation of biosynthetic process	1.97913897512641	3.13052774588018e-16
GO:0060255	2.37930802206094e-18	1.38771065996194	1351.45516149775	1580	7849	regulation of macromolecule metabolic process	0.569198845432666	3.13052774588018e-16
GO:0051960	2.98294123492108e-18	1.72654172470558	275.318741653064	407	1599	regulation of nervous system development	3.53291398118195	3.88113798454731e-16
GO:0032989	3.04368322678841e-18	1.7251125619948	276.17965078894	408	1604	cellular component morphogenesis	3.5195490077798	3.91665171271343e-16
GO:0035295	5.01693393147398e-18	1.62888180385027	358.826927833012	505	2084	tube development	2.58066439852491	6.38568438451742e-16
GO:0060284	6.48422422002525e-18	1.71708568901589	275.663105307415	406	1601	regulation of cell development	3.51543402175639	8.16454468994577e-16
GO:0016477	1.06160796922868e-17	1.58616825819506	404.110748380076	556	2347	cell migration	2.24018659471365	1.32249248081573e-15
GO:0019222	2.92834427083025e-17	1.36888342036538	1472.67116782905	1696	8553	regulation of metabolic process	0.514546330731733	3.60956962225497e-15
GO:0030030	3.39641986347283e-17	1.54399178057715	454.38784191522	611	2639	cell projection organization	1.94714373447175	4.1429246459653e-15
GO:0120036	4.00915633453613e-17	1.5467972568805	446.811841519513	602	2595	plasma membrane bounded cell projection organization	1.98407163620569	4.83991965746578e-15
GO:0061564	4.5926625818448e-17	1.84753513203126	190.949646337241	299	1109	axon development	5.39564884732751	5.48776314626557e-15
GO:0048870	1.19547884060447e-16	1.54423599379024	434.070386308552	585	2521	cell motility	2.04289364026824	1.39990572234783e-14
GO:0051674	1.19547884060447e-16	1.54423599379024	434.070386308552	585	2521	localization of cell	2.04289364026824	1.39990572234783e-14
GO:0048568	1.37987479518289e-16	1.83164783535433	190.777464510066	297	1108	embryonic organ development	5.36923620795266	1.59983503481105e-14
GO:0034654	2.46237479884593e-16	1.40394067635982	863.147499629025	1055	5013	nucleobase-containing compound biosynthetic process	0.931735476987839	2.82690283279273e-14
GO:0045596	2.64921432634117e-16	1.83769812556922	184.406736904585	288	1071	negative regulation of cell differentiation	5.57248781865687	3.01187376324807e-14
GO:0051239	2.76206066269062e-16	1.40662104124767	841.969134886482	1032	4890	regulation of multicellular organismal process	0.957850126086793	3.10997407308722e-14
GO:0050767	3.04448574615438e-16	1.71631097930767	244.153830934362	361	1418	regulation of neurogenesis	3.98465129973084	3.39532648452074e-14
GO:0019438	7.25699755576246e-16	1.39409383567746	878.299500420438	1068	5101	aromatic compound biosynthetic process	0.910953454971389	8.01692843188476e-14
GO:0048646	1.96170362584117e-15	1.56605356833764	361.065291586289	495	2097	anatomical structure formation involved in morphogenesis	2.49829615575899	2.14687378117758e-13
GO:0050794	2.03221343144735e-15	1.37612353777641	2316.01775733294	2513	13451	regulation of cellular process	0.308261242737437	2.20344622983782e-13
GO:0048562	2.27462174477814e-15	1.95903507771204	135.679279814018	223	788	embryonic organ morphogenesis	7.97054484784457	2.42810977870259e-13
GO:0018130	2.28088877589483e-15	1.38644447810938	875.888954839986	1062	5087	heterocycle biosynthetic process	0.910828524889645	2.42810977870259e-13
GO:0035239	5.09786333059463e-15	1.61464343555771	295.808379086907	417	1718	tube morphogenesis	3.13563365908595	5.37801618029397e-13
GO:0010628	5.29933635633725e-15	1.46470678303476	528.426027600534	682	3069	positive regulation of gene expression	1.60703812316716	5.54064542256332e-13
GO:0010605	5.66244005098705e-15	1.42990738256947	631.907305732799	796	3670	negative regulation of macromolecule metabolic process	1.31164564292555	5.86789141566888e-13
GO:0010468	8.69916000659217e-15	1.35965782124343	1016.90587129643	1207	5906	regulation of gene expression	0.767990709855693	8.93571611203459e-13
GO:0001667	1.74102707086188e-14	1.93238206334551	132.580006924865	216	770	ameboidal-type cell migration	8.08551863720695	1.76784522535989e-12
GO:0009892	1.75123865193635e-14	1.4064972351701	688.038581391898	854	3996	negative regulation of metabolic process	1.1869775180586	1.76784522535989e-12
GO:1901362	1.93135776919265e-14	1.36649073449975	910.325320275016	1092	5287	organic cyclic compound biosynthetic process	0.867040929518353	1.93300850232871e-12
GO:0072359	2.06342328565081e-14	1.53458257665437	370.018746599397	500	2149	circulatory system development	2.40288372030581	2.04768531143822e-12
GO:0007423	2.52735828402337e-14	1.6777901206436	231.068012069051	337	1342	sensory organ development	4.15298584535837	2.48700550469862e-12
GO:0010629	3.23453901510606e-14	1.47769210392188	460.069842212	601	2672	negative regulation of gene expression	1.8682592711284	3.15637098890766e-12
GO:0016070	8.56286599729994e-14	1.35264829679701	935.636048869763	1114	5434	RNA metabolic process	0.837300796563141	8.28687279573407e-12
GO:0030900	9.23233840919698e-14	1.8945383581078	133.785279715091	215	777	forebrain development	7.90372832843875	8.86153137472924e-12
GO:0045664	1.219930312581e-13	1.71139999137671	198.697828560123	295	1154	regulation of neuron differentiation	4.91638607631057	1.1614133301076e-11
GO:0060485	2.57029316174594e-13	2.09393059396601	91.7729138843548	159	533	mesenchyme development	12.4216213932958	2.42726878419718e-11
GO:0050768	2.93840225727004e-13	2.15427223195692	83.6803680071227	148	486	negative regulation of neurogenesis	13.9067215363512	2.73120842353995e-11
GO:0030855	2.93878959321976e-13	1.71986377713755	187.678191620913	280	1090	epithelial cell differentiation	5.23046881575625	2.73120842353995e-11
GO:0030334	3.20109620323243e-13	1.63476235547333	236.06128505713	338	1371	regulation of cell migration	3.99095997586773	2.95156193227179e-11
GO:0090596	3.6102427012027e-13	1.92159648232708	120.527279022605	196	700	sensory organ morphogenesis	8.8776	3.3028079711784e-11
GO:0030902	3.70934971123557e-13	2.41986259974142	59.9192758569521	115	348	hindbrain development	21.0753567181926	3.36716938903632e-11
GO:0048589	4.21609676109717e-13	1.6437066440352	227.280011871198	327	1320	developmental growth	4.16519628099174	3.79773023634214e-11
GO:0048762	5.09043406971828e-13	2.23128630243122	73.8660038581392	134	429	mesenchymal cell differentiation	16.1594209985818	4.55030404247336e-11
GO:0010721	5.58631242787955e-13	2.03736497455944	97.1105505267844	165	564	negative regulation of cell development	11.5122793119058	4.9557362523083e-11
GO:0051241	8.21236466339768e-13	1.53568106312292	314.748380076174	428	1828	negative regulation of multicellular organismal process	2.84267341476378	7.2305857299539e-11
GO:0007154	8.37782913514018e-13	1.30387430800242	1460.79062175397	1649	8484	cell communication	0.508457804256886	7.32122232630533e-11
GO:0072073	9.00098844112723e-13	2.54795034465931	50.7936390166691	101	295	kidney epithelium development	25.758046538351	7.80752404782221e-11
GO:0043009	9.46364652001185e-13	1.63117371130825	227.796557352723	326	1323	chordate embryonic development	4.13364801702994	8.14847799627491e-11
GO:0044271	1.10587075893989e-12	1.32671028471513	1004.680961567	1178	5835	cellular nitrogen compound biosynthetic process	0.767890246561944	9.4523697716687e-11
GO:0051094	1.28450941385046e-12	1.49598903479515	360.204382450413	479	2092	positive regulation of developmental process	2.42911309221326	1.08997139392673e-10
GO:0051961	1.52099935404524e-12	2.05566126880755	90.5676410941287	155	526	negative regulation of nervous system development	12.4335685061227	1.28135988747264e-10
GO:0034645	1.64059835112976e-12	1.3239722388549	1003.13132512242	1175	5826	cellular macromolecule biosynthetic process	0.768302927004659	1.37224333512354e-10
GO:0009059	1.65889051368253e-12	1.32091432804065	1035.67369045853	1209	6015	macromolecule biosynthetic process	0.741635686345234	1.37770268902287e-10
GO:0048729	2.13731713293946e-12	1.58602250613419	252.935104120295	354	1469	tissue morphogenesis	3.64078683535059	1.76253405821979e-10
GO:2000145	2.51872395766027e-12	1.58856878913931	248.974922095266	349	1446	regulation of cell motility	3.7044558461459	2.06253549260153e-10
GO:0050789	2.87762342622826e-12	1.33292269236589	2420.53212642825	2589	14058	regulation of biological process	0.2907505561831	2.34006738341201e-10
GO:0048863	2.93823620970163e-12	2.03323712166767	91.2563684028293	155	530	stem cell differentiation	12.2466002135991	2.37287903555904e-10
GO:0007166	2.9711949424111e-12	1.36050341808264	708.011673344215	860	4112	cell surface receptor signaling pathway	1.12882812381717	2.38306114901603e-10
GO:0009792	3.23238066882706e-12	1.60656511482224	232.445466686452	329	1350	embryo development ending in birth or egg hatching	4.00648888888889	2.57491004299081e-10
GO:0007167	3.61294602741946e-12	1.55210360407691	277.040559924816	381	1609	enzyme linked receptor protein signaling pathway	3.26624282846527	2.85862148520823e-10
GO:0022603	4.69947295657666e-12	1.51854722328682	309.582925260919	418	1798	regulation of anatomical structure morphogenesis	2.86967350943639	3.69334418265186e-10
GO:0009952	5.29728392146167e-12	2.13084971641524	76.7930949201167	135	446	anterior/posterior pattern specification	15.0625892336464	4.13321220098087e-10
GO:0023052	5.32976124977038e-12	1.29127367465172	1456.83043972894	1638	8461	signaling	0.507815659440708	4.13321220098087e-10
GO:0008283	5.90566911415258e-12	1.4225450567115	468.851115397932	597	2723	cell population proliferation	1.78695917274927	4.54969640307413e-10
GO:0001822	6.94866235666699e-12	1.95689755402793	99.8654597615868	165	580	kidney development	10.8858799048751	5.31822458801114e-10
GO:0051270	8.05005894556266e-12	1.5450575940299	273.424741554138	375	1588	regulation of cellular component movement	3.3003944888934	6.12118118522979e-10
GO:0001655	8.11381864401341e-12	1.88452828842965	113.295642281248	182	658	urogenital system development	9.32943154627175	6.12985911750948e-10
GO:0045165	8.89187925060311e-12	2.09102491663066	79.5480041549191	138	462	cell fate commitment	14.3493000505988	6.67460936054887e-10
GO:0045665	1.07472939780665e-11	2.1984484177714	67.839639907009	122	394	negative regulation of neuron differentiation	17.4422685459558	8.01597531739867e-10
GO:0007165	1.28233741183421e-11	1.28920237394036	1316.84661423554	1492	7648	signal transduction	0.566120193317694	9.50390575479656e-10
GO:0072001	1.46658696490848e-11	1.92470167722203	102.276005342039	167	594	renal system development	10.5045913682277	1.08010901629424e-09
GO:0034330	1.63884649205651e-11	1.61089607631628	212.472374734135	302	1234	cell junction organization	4.40161654263717	1.19943077637386e-09
GO:0023057	1.86067809924213e-11	1.47146655271279	350.217836474254	461	2034	negative regulation of signaling	2.47305975409194	1.35332549951089e-09
GO:0045597	2.12583842637591e-11	1.55069581606921	255.517831527922	352	1484	positive regulation of cell differentiation	3.54740230018672	1.53663999832481e-09
GO:0001823	2.24095068328323e-11	3.06113365404727	29.4430924469506	66	171	mesonephros development	50.0941828254848	1.60990996940163e-09
GO:0001657	3.19146164811986e-11	3.12927359358021	27.7212741751991	63	161	ureteric bud development	53.9416689170943	2.27878145728558e-09
GO:0010648	3.23681349211611e-11	1.46514112791185	349.701290992729	459	2031	negative regulation of cell communication	2.46961025813335	2.29715672682907e-09
GO:0002009	4.24895801067762e-11	1.59701884930692	211.611465598259	299	1229	morphogenesis of an epithelium	4.39342284802915	2.99730712680934e-09
GO:0072163	5.91236761961809e-11	3.06631948507899	28.0656378295494	63	163	mesonephric epithelium development	52.6260679739546	4.12106100153142e-09
GO:0072164	5.91236761961809e-11	3.06631948507899	28.0656378295494	63	163	mesonephric tubule development	52.6260679739546	4.12106100153142e-09
GO:0060541	6.05632899611687e-11	2.3275728510866	53.3763664242964	100	310	respiratory system development	23.0946930280957	4.19642677778275e-09
GO:0065007	6.63892532894581e-11	1.3227682150815	2547.94667853786	2699	14798	biological regulation	0.273547292300562	4.57304797658562e-09
GO:0048880	7.12969709065047e-11	1.64438555444142	178.89691843498	259	1039	sensory system development	5.32481165257554	4.88238321236942e-09
GO:0001501	9.12501806027583e-11	1.65599049824337	170.976554384924	249	993	skeletal system development	5.60449429997901	6.21243962126918e-09
GO:0016331	1.00619183509071e-10	2.4407429245283	45.972547855765	89	267	morphogenesis of embryonic epithelium	27.7078651685393	6.81069733463137e-09
GO:0021953	1.11720383266366e-10	2.09651159754104	70.0780036602859	122	407	central nervous system neuron differentiation	16.3458155497468	7.51865337959279e-09
GO:0007507	1.21615041724397e-10	1.59376694624677	202.485828757976	286	1176	heart development	4.58972823823407	8.13778364910108e-09
GO:0042127	1.34542285606854e-10	1.41918252591948	401.183657318099	513	2330	regulation of cell population proliferation	2.0972060638435	8.95164866168328e-09
GO:0040012	1.36688429339843e-10	1.50460687042715	274.802196171539	370	1596	regulation of locomotion	3.22382554129685	9.0430593647998e-09
GO:0090304	1.40407552045216e-10	1.28722087992307	1038.94514517485	1196	6034	nucleic acid metabolic process	0.729048044947815	9.23692378904201e-09
GO:0040007	1.50203861521336e-10	1.49214041927823	287.19928772815	384	1668	growth	3.06319548677605	9.7983732960137e-09
GO:0048585	1.50615473380228e-10	1.4236042174893	389.819656724539	500	2264	negative regulation of response to stimulus	2.16497427861504	9.7983732960137e-09
GO:0021915	1.73271918740034e-10	2.28160739988619	53.5485482514715	99	311	neural tube development	22.716948749496	1.12100230300873e-08
GO:0072358	1.75357438358841e-10	1.53843539246839	238.988376119108	328	1388	cardiovascular system development	3.77859628433091	1.12826132042969e-08
GO:0001944	1.90881458402145e-10	1.54100752789048	235.71692140278	324	1369	vasculature development	3.8368400580313	1.22143272015799e-08
GO:0023051	2.77156659092579e-10	1.29563424248526	890.352228322699	1038	5171	regulation of signaling	0.861556691156641	1.76386112933375e-08
GO:0071495	2.79774871852142e-10	1.42248338915825	377.939110649453	485	2195	cellular response to endogenous stimulus	2.2341291296745	1.77089932399383e-08
GO:0048048	3.04201967104453e-10	3.49964006581654	20.1452737794925	49	117	embryonic eye morphogenesis	79.4437869822485	1.91516399720062e-08
GO:0048864	3.59613318645239e-10	2.59164053422621	37.1912746698323	75	216	stem cell development	35.6770833333333	2.25191013975173e-08
GO:0010975	3.65900249099637e-10	1.6750621426621	150.831280605431	222	876	regulation of neuron projection development	6.42066991930944	2.27909144518976e-08
GO:0014031	4.57913435545098e-10	2.57323447437414	37.3634564970075	75	217	mesenchymal cell development	35.3490199409629	2.83712504245137e-08
GO:0010646	4.64176545507954e-10	1.29249329197549	879.849136865015	1025	5110	regulation of cell communication	0.871199558825219	2.86079334099902e-08
GO:0014033	5.66258894500895e-10	2.48411560562098	40.290547558985	79	234	neural crest cell differentiation	32.0207100591716	3.47167102335365e-08
GO:0090132	5.73579604440992e-10	1.93262510149139	84.024731661473	138	488	epithelium migration	12.8610084654663	3.49823810833543e-08
GO:0048705	5.92062579836781e-10	1.87918586457719	92.6338230202305	149	538	skeletal system morphogenesis	11.4250286756678	3.59225534191125e-08
GO:0009966	6.14861967088928e-10	1.30719002209184	749.335311866251	886	4352	regulation of signal transduction	1.0382251145518	3.7113575436141e-08
GO:0051962	6.69759464131765e-10	1.65446022841701	154.274917148934	225	896	positive regulation of nervous system development	6.22016751036352	4.02199144870921e-08
GO:0060173	7.7830865950724e-10	2.19016052511861	55.6147301775733	100	323	limb development	21.2730880196302	4.64999714430091e-08
GO:0048514	8.20413064198884e-10	1.57144730837562	195.770737498145	274	1137	blood vessel morphogenesis	4.70397727668284	4.8756838437035e-08
GO:0043583	8.24411102522026e-10	1.90411985945464	86.7796408962754	141	504	ear development	12.3195153061224	4.8756838437035e-08
GO:0030324	8.75621104512123e-10	2.32033837551079	47.0056388188158	88	273	lung development	26.2055307330033	5.15252418785777e-08
GO:0061351	9.34340673770871e-10	2.34308093565134	45.6281842014146	86	265	neural precursor cell proliferation	27.1795514417942	5.47056464492845e-08
GO:0044249	9.67465139531096e-10	1.25975193036878	1250.90097442746	1407	7265	cellular biosynthetic process	0.591641244424403	5.63632675816375e-08
GO:1901576	1.04917915844795e-09	1.25838893223916	1268.80788445368	1425	7369	organic substance biosynthetic process	0.582416047862257	6.08212274526016e-08
GO:0120035	1.32493002058991e-09	1.55775167404381	199.214374041648	277	1157	regulation of plasma membrane bounded cell projection organization	4.59249437305821	7.64282292665409e-08
